Local Traces SrL in 1/s
Number of Frames 101 
FR= 75 Left Marker Time=0.186000 Right Marker Time=1.142000 ES Time=0.558000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		1.006097e-001 	2.212610e-002 	-4.737178e-002 	-2.557095e-003 	-4.701984e-003 	-2.970965e-002 	4.324554e-002 	8.200000e+001
  0.013000		1.131678e-001 	3.334592e-002 	2.519762e-002 	3.698115e-002 	1.597421e-002 	6.545936e-003 	4.853882e-002 	8.500000e+001
  0.027000		8.838842e-002 	5.496239e-002 	1.025547e-001 	6.173810e-002 	-6.625452e-003 	2.043218e-002 	2.956090e-002 	8.800000e+001
  0.040000		6.000782e-002 	4.596991e-002 	-4.623932e-002 	-2.268429e-001 	-1.867572e-001 	3.346743e-002 	-6.497612e-002 	9.000000e+001
  0.053000		6.422486e-002 	4.465110e-002 	-3.602838e-001 	-7.757081e-001 	-5.405669e-001 	-1.797746e-001 	-2.199917e-001 	9.000000e+001
  0.066000		9.313386e-002 	7.783857e-002 	-6.023714e-001 	-1.210438e+000 	-8.237969e-001 	-4.059690e-001 	-3.588075e-001 	8.800000e+001
  0.080000		8.551908e-002 	3.420002e-002 	-6.360049e-001 	-1.367263e+000 	-9.404019e-001 	-3.540881e-001 	-4.573353e-001 	8.300000e+001
  0.093000		-2.628322e-001 	-2.437826e-001 	-4.824168e-001 	-1.160586e+000 	-1.008582e+000 	-5.496565e-001 	-5.829036e-001 	7.800000e+001
  0.106000		-9.424587e-001 	-7.661091e-001 	-3.814943e-001 	-7.796627e-001 	-1.007073e+000 	-9.350807e-001 	-7.789337e-001 	7.400000e+001
  0.120000		-1.667099e+000 	-1.365334e+000 	-5.341693e-001 	-4.943816e-001 	-7.763337e-001 	-9.062912e-001 	-1.011977e+000 	7.100000e+001
  0.133000		-2.112194e+000 	-1.824374e+000 	-8.733001e-001 	-5.202351e-001 	-6.215313e-001 	-7.531279e-001 	-1.230365e+000 	6.900000e+001
  0.146000		-2.050655e+000 	-1.983476e+000 	-1.315311e+000 	-8.640201e-001 	-6.946321e-001 	-7.343346e-001 	-1.356353e+000 	7.300000e+001
  0.159000		-1.657855e+000 	-1.859872e+000 	-1.629162e+000 	-1.075848e+000 	-5.921588e-001 	-5.452545e-001 	-1.264593e+000 	1.070000e+002
  0.173000		-1.131714e+000 	-1.407734e+000 	-1.340797e+000 	-7.448708e-001 	-2.255669e-001 	-2.555386e-001 	-8.557745e-001 	1.880000e+002
  0.186000		-4.443012e-001 	-6.498938e-001 	-5.164558e-001 	1.139644e-001 	4.573906e-001 	2.455985e-001 	-1.775278e-001 	2.540000e+002
  0.199000		3.169549e-001 	9.818691e-002 	2.983067e-001 	1.067230e+000 	1.253498e+000 	9.150261e-001 	5.138432e-001 	1.950000e+002
  0.213000		7.749950e-001 	5.297760e-001 	7.696949e-001 	1.556815e+000 	1.616551e+000 	1.275130e+000 	8.995953e-001 	6.300000e+001
  0.226000		8.741288e-001 	6.511281e-001 	7.669907e-001 	1.255898e+000 	1.193769e+000 	9.444563e-001 	8.636249e-001 	1.000000e+000
  0.239000		8.764425e-001 	6.250504e-001 	4.075692e-001 	4.840088e-001 	4.261345e-001 	3.711541e-001 	5.903229e-001 	1.700000e+001
  0.252000		8.567541e-001 	4.604376e-001 	-4.856578e-002 	-5.802312e-002 	1.207018e-001 	3.600019e-001 	3.782129e-001 	4.200000e+001
  0.266000		8.262027e-001 	2.708074e-001 	-2.202625e-001 	7.432941e-002 	4.366152e-001 	7.713499e-001 	4.047389e-001 	5.500000e+001
  0.279000		7.957070e-001 	2.286601e-001 	1.090301e-001 	8.106054e-001 	1.021569e+000 	1.054707e+000 	6.469374e-001 	6.000000e+001
  0.292000		1.062503e+000 	3.674993e-001 	4.177270e-001 	1.582772e+000 	1.694307e+000 	1.393283e+000 	9.293911e-001 	6.500000e+001
  0.306000		1.244770e+000 	5.343741e-001 	2.109138e-001 	1.574566e+000 	1.984190e+000 	1.675193e+000 	1.039097e+000 	7.000000e+001
  0.319000		9.736619e-001 	5.844207e-001 	5.945085e-002 	1.237300e+000 	1.715264e+000 	1.358056e+000 	9.514781e-001 	7.400000e+001
  0.332000		6.926329e-001 	5.616582e-001 	4.005802e-001 	1.297463e+000 	1.296134e+000 	7.283709e-001 	8.257873e-001 	7.800000e+001
  0.345000		5.873524e-001 	5.675992e-001 	7.479419e-001 	1.400689e+000 	1.048225e+000 	4.008919e-001 	7.665945e-001 	8.100000e+001
  0.359000		6.646847e-001 	6.474099e-001 	8.472928e-001 	1.391951e+000 	9.924899e-001 	3.114872e-001 	7.607104e-001 	8.400000e+001
  0.372000		8.574609e-001 	7.058449e-001 	8.143343e-001 	1.262552e+000 	8.840020e-001 	2.185445e-001 	7.516168e-001 	8.700000e+001
  0.385000		1.052892e+000 	6.884705e-001 	6.877086e-001 	9.522084e-001 	6.970021e-001 	2.461432e-001 	7.201714e-001 	9.100000e+001
  0.399000		1.121376e+000 	6.865860e-001 	5.776190e-001 	6.701026e-001 	5.637303e-001 	3.862983e-001 	6.931605e-001 	9.600000e+001
  0.412000		1.160444e+000 	7.395012e-001 	5.254927e-001 	6.721606e-001 	6.121898e-001 	4.496037e-001 	6.905255e-001 	1.000000e+002
  0.425000		1.076493e+000 	7.218167e-001 	5.224593e-001 	7.676899e-001 	6.747203e-001 	4.093029e-001 	6.969068e-001 	1.050000e+002
  0.438000		9.687502e-001 	6.093840e-001 	6.220705e-001 	8.941461e-001 	6.879733e-001 	4.025726e-001 	7.112353e-001 	1.090000e+002
  0.452000		1.007414e+000 	5.166251e-001 	6.859826e-001 	1.048253e+000 	7.737312e-001 	4.611957e-001 	7.313692e-001 	1.110000e+002
  0.465000		1.058937e+000 	4.389017e-001 	5.989973e-001 	1.072451e+000 	8.467289e-001 	5.487356e-001 	7.193087e-001 	1.090000e+002
  0.478000		1.043492e+000 	3.087947e-001 	3.301982e-001 	9.533148e-001 	8.370470e-001 	5.756929e-001 	6.495444e-001 	1.030000e+002
  0.491000		9.603427e-001 	2.266390e-001 	2.879978e-002 	7.289824e-001 	7.933701e-001 	5.819582e-001 	5.485013e-001 	9.100000e+001
  0.505000		8.507866e-001 	2.647880e-001 	-2.932578e-002 	5.230859e-001 	6.708574e-001 	5.196314e-001 	4.526815e-001 	7.500000e+001
  0.518000		7.207870e-001 	2.932037e-001 	6.542234e-002 	3.619367e-001 	4.604954e-001 	3.261755e-001 	3.676262e-001 	6.000000e+001
  0.531000		6.219259e-001 	2.501091e-001 	1.129243e-001 	2.792626e-001 	3.067596e-001 	1.480301e-001 	2.978570e-001 	5.000000e+001
  0.545000		5.270582e-001 	1.975948e-001 	1.482934e-001 	2.881783e-001 	2.272993e-001 	3.772313e-002 	2.524650e-001 	4.700000e+001
  0.558000		4.296858e-001 	2.218569e-001 	1.699362e-001 	2.136717e-001 	1.633909e-001 	5.989287e-002 	2.233844e-001 	4.900000e+001
  0.571000		3.620598e-001 	3.477490e-001 	6.149129e-002 	-1.034482e-001 	1.021741e-001 	2.846419e-001 	1.755765e-001 	5.300000e+001
  0.584000		3.078230e-001 	3.686275e-001 	-2.207645e-001 	-5.463925e-001 	-4.018934e-002 	4.607823e-001 	6.465406e-002 	5.700000e+001
  0.598000		7.170768e-002 	1.141622e-001 	-4.770699e-001 	-7.966186e-001 	-2.115018e-001 	3.965978e-001 	-1.092921e-001 	6.200000e+001
  0.611000		-4.515263e-001 	-2.495400e-001 	-4.484423e-001 	-6.956609e-001 	-2.869486e-001 	1.651390e-001 	-2.972514e-001 	6.600000e+001
  0.624000		-1.011530e+000 	-4.471629e-001 	-1.238070e-001 	-4.893164e-001 	-4.634248e-001 	-3.089782e-001 	-4.725965e-001 	6.900000e+001
  0.638000		-1.406770e+000 	-5.146641e-001 	1.674618e-001 	-3.632268e-001 	-8.068578e-001 	-1.021951e+000 	-6.692741e-001 	7.200000e+001
  0.651000		-1.757523e+000 	-6.943768e-001 	1.620387e-001 	-3.191719e-001 	-1.106357e+000 	-1.691143e+000 	-9.579267e-001 	7.300000e+001
  0.664000		-2.236779e+000 	-1.046791e+000 	-2.924181e-001 	-8.172253e-001 	-1.546768e+000 	-2.076281e+000 	-1.390367e+000 	7.500000e+001
  0.677000		-2.682456e+000 	-1.393834e+000 	-1.004961e+000 	-1.885671e+000 	-2.310525e+000 	-2.367216e+000 	-1.890041e+000 	7.600000e+001
  0.691000		-2.805051e+000 	-1.573308e+000 	-1.536784e+000 	-2.841762e+000 	-3.004733e+000 	-2.563039e+000 	-2.236301e+000 	7.600000e+001
  0.704000		-2.413276e+000 	-1.483472e+000 	-1.736670e+000 	-3.249670e+000 	-3.186262e+000 	-2.312447e+000 	-2.224164e+000 	7.600000e+001
  0.717000		-1.657691e+000 	-1.103060e+000 	-1.517926e+000 	-2.959306e+000 	-2.725314e+000 	-1.637886e+000 	-1.834568e+000 	7.600000e+001
  0.731000		-9.041820e-001 	-5.501349e-001 	-1.043193e+000 	-2.350665e+000 	-2.038878e+000 	-9.131085e-001 	-1.254546e+000 	7.600000e+001
  0.744000		-2.041462e-001 	1.285756e-001 	-4.784399e-001 	-1.896359e+000 	-1.688358e+000 	-6.411224e-001 	-6.938372e-001 	7.700000e+001
  0.757000		4.771922e-001 	6.853340e-001 	-5.006161e-002 	-1.471728e+000 	-1.414982e+000 	-6.446157e-001 	-2.318265e-001 	7.700000e+001
  0.770000		9.739122e-001 	8.303439e-001 	1.100125e-001 	-7.885344e-001 	-7.680644e-001 	-3.854518e-001 	1.376415e-001 	7.700000e+001
  0.784000		1.197575e+000 	6.518824e-001 	1.762802e-001 	5.466355e-002 	2.612985e-002 	2.431019e-002 	4.084614e-001 	7.700000e+001
  0.797000		1.202752e+000 	4.828632e-001 	1.529057e-001 	5.843732e-001 	5.765085e-001 	3.835047e-001 	5.495457e-001 	7.700000e+001
  0.810000		9.473076e-001 	3.814250e-001 	5.378160e-002 	6.794769e-001 	8.407920e-001 	6.625930e-001 	5.451527e-001 	7.800000e+001
  0.824000		6.173355e-001 	2.742239e-001 	-5.924844e-002 	5.021681e-001 	7.871830e-001 	6.633748e-001 	4.254680e-001 	7.800000e+001
