Local Traces SL in %
Number of Frames 64 
FR= 48 Left Marker Time=0.189000 Right Marker Time=1.134000 ES Time=0.546000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		-5.275053e+000 	-5.035738e+000 	-3.991172e+000 	-2.757648e+000 	-4.056960e+000 	-4.061316e+000 	-4.145234e+000 	1.110000e+002
  0.021000		-4.908001e+000 	-4.980223e+000 	-3.903176e+000 	-2.637561e+000 	-4.013393e+000 	-4.049731e+000 	-4.063508e+000 	1.120000e+002
  0.042000		-5.005132e+000 	-4.800240e+000 	-3.788431e+000 	-2.564544e+000 	-3.951945e+000 	-4.022251e+000 	-4.006132e+000 	1.130000e+002
  0.063000		-4.905777e+000 	-4.732939e+000 	-3.776561e+000 	-2.549345e+000 	-3.929773e+000 	-3.969900e+000 	-3.955596e+000 	1.130000e+002
  0.084000		-4.525862e+000 	-4.606351e+000 	-3.769073e+000 	-2.574578e+000 	-3.989386e+000 	-3.764858e+000 	-3.832228e+000 	1.110000e+002
  0.105000		-3.740442e+000 	-4.348822e+000 	-3.680967e+000 	-2.611066e+000 	-3.978725e+000 	-3.145055e+000 	-3.510187e+000 	1.080000e+002
  0.126000		-2.504678e+000 	-3.734391e+000 	-3.392406e+000 	-2.543656e+000 	-3.561701e+000 	-2.025722e+000 	-2.883223e+000 	1.060000e+002
  0.147000		-1.507662e+000 	-2.516723e+000 	-2.612926e+000 	-2.158982e+000 	-2.561443e+000 	-8.149754e-001 	-1.966331e+000 	1.090000e+002
  0.168000		-7.211581e-001 	-9.921193e-001 	-1.315912e+000 	-1.304615e+000 	-1.225150e+000 	-9.295684e-002 	-9.249757e-001 	1.430000e+002
  0.189000		0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	2.150000e+002
  0.210000		3.324552e-001 	3.567086e-001 	1.000583e+000 	1.562219e+000 	7.701533e-001 	-2.917855e-001 	6.371528e-001 	2.500000e+002
  0.231000		2.875492e-001 	3.311045e-001 	1.738317e+000 	2.960656e+000 	9.014002e-001 	-6.920851e-001 	9.446883e-001 	2.120000e+002
  0.252000		1.205034e-001 	1.289505e-001 	2.216975e+000 	3.851011e+000 	4.252913e-001 	-1.093596e+000 	9.727056e-001 	1.610000e+002
  0.273000		-7.401045e-002 	-6.274538e-002 	2.562877e+000 	4.023877e+000 	-3.750287e-001 	-1.497775e+000 	8.246363e-001 	1.120000e+002
  0.294000		-1.445888e-002 	1.281675e-002 	2.810233e+000 	3.617323e+000 	-1.181811e+000 	-2.044178e+000 	6.227185e-001 	4.600000e+001
  0.315000		2.401828e-001 	2.960751e-001 	3.070123e+000 	3.141356e+000 	-1.775598e+000 	-2.875309e+000 	4.523913e-001 	3.000000e+000
  0.336000		6.196068e-001 	4.339202e-001 	3.063940e+000 	2.785338e+000 	-1.952493e+000 	-3.472487e+000 	3.278979e-001 	1.200000e+001
  0.357000		7.206128e-001 	-6.449234e-002 	2.565059e+000 	2.454879e+000 	-1.508087e+000 	-3.353702e+000 	1.979867e-001 	3.500000e+001
  0.378000		4.806107e-001 	-9.672826e-001 	1.482261e+000 	2.104425e+000 	-4.706026e-001 	-2.776931e+000 	-5.710475e-003 	5.200000e+001
  0.399000		2.442461e-001 	-2.194490e+000 	-1.431816e-001 	1.672154e+000 	7.561700e-001 	-2.180606e+000 	-3.464133e-001 	6.400000e+001
  0.420000		5.729972e-002 	-3.483737e+000 	-1.937016e+000 	9.675840e-001 	1.558706e+000 	-1.757536e+000 	-8.666365e-001 	6.900000e+001
  0.441000		-8.185628e-001 	-4.473607e+000 	-3.313428e+000 	-2.560986e-001 	1.737743e+000 	-1.593269e+000 	-1.571082e+000 	7.100000e+001
