Local Traces SL in %
Number of Frames 115 
FR= 75 Left Marker Time=0.213000 Right Marker Time=1.302000 ES Time=0.584000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		-6.677720e+000 	-4.762855e+000 	-6.942285e-001 	-3.870374e+000 	-4.921826e+000 	-4.296565e+000 	-4.170825e+000 	8.800000e+001
  0.013000		-6.671731e+000 	-4.731446e+000 	-7.340652e-001 	-3.861475e+000 	-4.805927e+000 	-4.211252e+000 	-4.127670e+000 	8.600000e+001
  0.027000		-6.621233e+000 	-4.692361e+000 	-7.763472e-001 	-3.843242e+000 	-4.687504e+000 	-4.093243e+000 	-4.080883e+000 	8.500000e+001
  0.040000		-6.499520e+000 	-4.678803e+000 	-8.448528e-001 	-3.802648e+000 	-4.586192e+000 	-3.982958e+000 	-4.038231e+000 	9.000000e+001
  0.053000		-6.385374e+000 	-4.683273e+000 	-9.292419e-001 	-3.770624e+000 	-4.488051e+000 	-3.892024e+000 	-4.009237e+000 	1.000000e+002
  0.066000		-6.323708e+000 	-4.657161e+000 	-1.030232e+000 	-3.763882e+000 	-4.399561e+000 	-3.806675e+000 	-3.980281e+000 	1.110000e+002
  0.080000		-6.201657e+000 	-4.560881e+000 	-1.116403e+000 	-3.769314e+000 	-4.316968e+000 	-3.611798e+000 	-3.889777e+000 	1.120000e+002
  0.093000		-5.835808e+000 	-4.334423e+000 	-1.216791e+000 	-3.742038e+000 	-4.100386e+000 	-3.018267e+000 	-3.635187e+000 	1.010000e+002
  0.106000		-5.153956e+000 	-3.916879e+000 	-1.311070e+000 	-3.602451e+000 	-3.500877e+000 	-1.820128e+000 	-3.132167e+000 	8.600000e+001
  0.120000		-4.153934e+000 	-3.275344e+000 	-1.328140e+000 	-3.218940e+000 	-2.450418e+000 	-3.859734e-001 	-2.385138e+000 	7.700000e+001
  0.133000		-2.766891e+000 	-2.329088e+000 	-1.182430e+000 	-2.558212e+000 	-1.209326e+000 	6.501271e-001 	-1.494377e+000 	7.500000e+001
  0.146000		-1.133451e+000 	-1.153682e+000 	-8.799392e-001 	-1.771558e+000 	-1.367142e-001 	1.181652e+000 	-6.196294e-001 	7.600000e+001
  0.159000		2.438750e-001 	-1.119325e-001 	-5.295608e-001 	-1.097029e+000 	5.573720e-001 	1.296777e+000 	6.465291e-002 	8.000000e+001
  0.173000		9.947328e-001 	5.400677e-001 	-1.647489e-001 	-6.375775e-001 	7.622363e-001 	1.067270e+000 	4.521578e-001 	1.080000e+002
  0.186000		1.161009e+000 	8.021073e-001 	1.102929e-001 	-3.138128e-001 	6.219108e-001 	7.030957e-001 	5.405959e-001 	1.760000e+002
  0.199000		8.088351e-001 	6.259581e-001 	1.792623e-001 	-1.033214e-001 	3.377200e-001 	3.614701e-001 	3.708597e-001 	2.460000e+002
