Local Traces SrL in 1/s
Number of Frames 72 
FR= 54 Left Marker Time=0.186000 Right Marker Time=1.133000 ES Time=0.539000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		2.247651e-001 	4.113779e-002 	8.788410e-002 	2.368428e-001 	1.062300e-001 	-1.022175e-001 	1.008771e-001 	1.120000e+002
  0.019000		2.455167e-001 	8.171376e-002 	5.798120e-002 	2.113068e-001 	1.030667e-001 	-6.019120e-002 	9.527669e-002 	1.150000e+002
  0.037000		1.498235e-001 	1.439038e-001 	1.755808e-002 	1.472003e-001 	9.406892e-002 	-2.529210e-002 	7.121202e-002 	1.160000e+002
  0.056000		-3.621131e-002 	1.356656e-001 	5.321330e-003 	1.133010e-001 	6.487448e-002 	-7.133470e-002 	3.571736e-002 	1.170000e+002
  0.074000		-5.247987e-002 	6.889284e-002 	8.220754e-003 	1.209277e-001 	6.800773e-003 	-7.609955e-002 	2.866558e-002 	1.160000e+002
  0.093000		1.177451e-001 	5.163877e-002 	2.263122e-002 	1.147253e-001 	-7.319100e-003 	1.040548e-001 	8.862712e-002 	1.120000e+002
  0.111000		4.778062e-001 	1.320714e-001 	2.939944e-002 	1.514243e-001 	1.254680e-001 	3.575771e-001 	2.143861e-001 	1.080000e+002
  0.130000		8.312901e-001 	2.842778e-001 	3.868060e-002 	3.129304e-001 	3.824843e-001 	4.174904e-001 	3.528308e-001 	1.080000e+002
  0.149000		7.999940e-001 	4.150631e-001 	1.280841e-001 	5.910883e-001 	5.816523e-001 	2.484335e-001 	4.388032e-001 	1.120000e+002
  0.167000		4.783061e-001 	4.124306e-001 	3.281341e-001 	8.723447e-001 	5.695586e-001 	8.163343e-002 	4.460633e-001 	1.380000e+002
  0.186000		2.828368e-001 	2.988405e-001 	4.386241e-001 	9.098296e-001 	3.790654e-001 	6.576936e-002 	3.787536e-001 	1.980000e+002
  0.204000		2.155183e-001 	1.635563e-001 	3.713742e-001 	6.363749e-001 	1.154333e-001 	6.350926e-002 	2.526882e-001 	2.460000e+002
  0.223000		1.733743e-001 	6.716398e-002 	2.509085e-001 	2.999527e-001 	-1.994586e-001 	-7.598153e-002 	1.167948e-001 	2.380000e+002
  0.241000		2.177912e-001 	8.414219e-002 	2.780397e-001 	1.432240e-001 	-5.175791e-001 	-3.079021e-001 	4.086845e-002 	2.010000e+002
  0.260000		2.878458e-001 	1.979264e-001 	4.723300e-001 	1.951867e-001 	-6.306888e-001 	-4.759997e-001 	4.224862e-002 	1.640000e+002
  0.279000		2.993637e-001 	2.673371e-001 	4.738844e-001 	1.922226e-001 	-4.507750e-001 	-4.325910e-001 	5.353167e-002 	1.150000e+002
  0.297000		1.118542e-001 	1.771803e-001 	1.604967e-001 	-5.513824e-002 	-1.737465e-001 	-1.744428e-001 	1.683916e-003 	5.000000e+001
  0.316000		-1.563438e-001 	-3.961183e-002 	-3.111663e-001 	-3.895817e-001 	8.730449e-002 	1.291175e-001 	-1.070456e-001 	5.000000e+000
  0.334000		-3.250454e-001 	-1.888239e-001 	-6.707177e-001 	-6.254996e-001 	3.293229e-001 	3.128417e-001 	-2.213504e-001 	3.000000e+000
  0.353000		-4.460656e-001 	-2.644689e-001 	-9.163909e-001 	-7.552201e-001 	4.675623e-001 	2.603179e-001 	-3.214821e-001 	2.400000e+001
  0.371000		-5.579886e-001 	-3.891178e-001 	-1.071369e+000 	-7.411538e-001 	3.846161e-001 	9.615705e-002 	-3.970848e-001 	4.400000e+001
  0.390000		-5.947155e-001 	-5.066193e-001 	-9.894311e-001 	-6.536099e-001 	1.467232e-001 	3.301476e-002 	-4.216820e-001 	5.800000e+001
  0.409000		-3.831514e-001 	-5.790685e-001 	-8.328594e-001 	-3.572306e-001 	-4.865833e-002 	7.255645e-003 	-4.013459e-001 	6.700000e+001
  0.427000		-1.098606e-001 	-5.055432e-001 	-7.338089e-001 	-7.203410e-001 	-1.554142e-001 	6.501609e-003 	-3.891735e-001 	7.200000e+001
  0.446000		-5.046501e-002 	-4.102547e-001 	-6.719694e-001 	-1.104307e+000 	-2.292184e-001 	4.267070e-002 	-3.923121e-001 	7.400000e+001
