Local Traces SrL in 1/s
Number of Frames 73 
FR= 54 Left Marker Time=0.186000 Right Marker Time=1.151000 ES Time=0.539000
Time (s) 		   YELLOW    	     CYAN    	    GREEN    	  MAGENTA    	     BLUE    	      RED    	  GLOBAL     	ECG : 
  0.000000		2.918913e-001 	4.507267e-002 	-6.457887e-002 	5.333189e-002 	1.189885e-001 	6.073995e-002 	7.885081e-002 	1.220000e+002
  0.019000		3.569145e-001 	3.565091e-002 	-4.743694e-002 	1.462202e-002 	7.926725e-002 	7.516621e-002 	7.744247e-002 	1.260000e+002
  0.037000		3.633538e-001 	5.945159e-002 	-7.948696e-003 	-3.633653e-002 	3.562736e-002 	7.016063e-002 	7.284054e-002 	1.250000e+002
  0.056000		2.663774e-001 	1.324283e-001 	4.189204e-002 	-3.872560e-002 	1.214006e-002 	3.237779e-002 	6.625795e-002 	1.220000e+002
  0.074000		1.805944e-001 	1.390803e-001 	7.695202e-002 	-2.384389e-003 	-1.171748e-002 	2.603876e-002 	6.532267e-002 	1.190000e+002
  0.093000		1.139157e-001 	8.143106e-002 	9.195608e-002 	3.860303e-002 	3.325424e-003 	1.418262e-001 	9.194180e-002 	1.170000e+002
  0.111000		-1.086092e-002 	9.034766e-002 	1.643324e-001 	8.971563e-002 	1.435758e-001 	4.054740e-001 	1.697501e-001 	1.140000e+002
  0.130000		4.656336e-003 	2.110539e-001 	3.142140e-001 	2.047554e-001 	3.864951e-001 	5.660903e-001 	2.833263e-001 	1.140000e+002
  0.149000		1.134565e-001 	3.294860e-001 	5.125321e-001 	4.267666e-001 	5.337895e-001 	4.130738e-001 	3.691043e-001 	1.270000e+002
  0.167000		5.371487e-002 	3.019296e-001 	6.488812e-001 	6.785463e-001 	5.293715e-001 	9.904039e-002 	3.721911e-001 	1.720000e+002
  0.186000		3.938849e-002 	1.864620e-001 	5.205264e-001 	7.147287e-001 	4.470685e-001 	-1.385633e-001 	2.917442e-001 	2.330000e+002
  0.204000		1.635433e-001 	1.352979e-001 	2.032811e-001 	4.731411e-001 	2.552754e-001 	-2.477286e-001 	1.680316e-001 	2.530000e+002
  0.223000		3.329060e-001 	1.765686e-001 	1.289362e-002 	1.616854e-001 	-1.037580e-001 	-3.208822e-001 	5.347336e-002 	2.250000e+002
  0.241000		4.756976e-001 	2.783183e-001 	5.864108e-002 	-8.481748e-002 	-4.876574e-001 	-3.965331e-001 	-1.400110e-002 	1.880000e+002
  0.260000		5.438444e-001 	3.684135e-001 	1.656883e-001 	-2.434011e-001 	-6.385854e-001 	-4.342922e-001 	-2.871239e-002 	1.470000e+002
  0.279000		5.064612e-001 	3.461869e-001 	2.096750e-001 	-2.693847e-001 	-4.925535e-001 	-3.868244e-001 	-1.447536e-002 	8.700000e+001
  0.297000		4.348099e-001 	2.116549e-001 	9.948993e-002 	-2.624623e-001 	-2.398141e-001 	-2.261325e-001 	-6.331770e-003 	2.900000e+001
  0.316000		4.119426e-001 	5.153794e-002 	-2.546868e-001 	-3.603092e-001 	1.559623e-002 	2.472648e-002 	-1.725894e-002 	1.000000e+001
  0.334000		4.138819e-001 	-8.552729e-002 	-6.179427e-001 	-4.134550e-001 	2.404569e-001 	2.866069e-001 	-2.980062e-002 	2.400000e+001
  0.353000		3.445653e-001 	-1.923028e-001 	-7.059783e-001 	-3.042001e-001 	3.001863e-001 	4.229863e-001 	-4.185842e-002 	4.600000e+001
  0.371000		2.049451e-001 	-2.262121e-001 	-6.131217e-001 	-2.378163e-001 	1.509004e-001 	3.610267e-001 	-8.162733e-002 	6.000000e+001
  0.390000		5.647712e-002 	-2.293871e-001 	-5.346786e-001 	-3.074648e-001 	-7.701965e-002 	1.524774e-001 	-1.662267e-001 	6.700000e+001
