Local Traces SrL in 1/s
Number of Frames 67 
FR= 59 Left Marker Time=0.152000 Right Marker Time=0.963000 ES Time=0.507000
Time (s) 		   YELLOW    	     CYAN    	    GREEN    	  MAGENTA    	     BLUE    	      RED    	  GLOBAL     	ECG : 
  0.000000		1.575099e-002 	3.497073e-002 	-1.020825e-002 	-4.889276e-002 	2.358530e-002 	1.491190e-001 	2.633613e-002 	8.900000e+001
  0.017000		-4.841114e-002 	5.572116e-002 	2.839446e-003 	-1.759348e-002 	6.627098e-002 	1.441159e-001 	3.704713e-002 	9.800000e+001
  0.034000		-9.493127e-002 	1.050428e-001 	5.156452e-002 	4.458135e-002 	1.258924e-001 	1.512291e-001 	8.512587e-002 	9.600000e+001
  0.051000		4.752145e-002 	2.060329e-001 	1.913884e-001 	1.165466e-001 	1.830922e-001 	2.026475e-001 	1.924823e-001 	8.200000e+001
  0.068000		4.508038e-001 	3.634913e-001 	4.063735e-001 	1.863124e-001 	2.915310e-001 	3.114268e-001 	3.324683e-001 	6.900000e+001
  0.084000		6.671073e-001 	4.499809e-001 	5.598519e-001 	2.334675e-001 	4.080209e-001 	4.248496e-001 	4.146482e-001 	6.500000e+001
  0.101000		4.197733e-001 	3.893809e-001 	4.281030e-001 	2.189454e-001 	4.518040e-001 	4.263819e-001 	3.709713e-001 	6.000000e+001
  0.118000		2.387094e-001 	2.282013e-001 	9.905397e-002 	8.173909e-002 	3.806778e-001 	3.007007e-001 	2.338565e-001 	6.000000e+001
  0.135000		1.546444e-001 	5.948763e-002 	-1.195874e-001 	-9.723858e-002 	3.024119e-001 	1.373134e-001 	8.339180e-002 	1.250000e+002
  0.152000		-1.017427e-002 	-6.078603e-002 	-1.232832e-001 	-1.821822e-001 	2.706896e-001 	-4.309536e-002 	-2.311948e-002 	2.410000e+002
  0.169000		-1.436971e-001 	-1.571483e-001 	3.011375e-002 	-8.156681e-002 	2.184859e-001 	-2.376901e-001 	-5.504682e-002 	2.090000e+002
  0.186000		-2.636405e-001 	-2.074874e-001 	3.051061e-001 	2.475016e-001 	1.889558e-001 	-3.022481e-001 	-8.000567e-004 	5.800000e+001
  0.203000		-2.900519e-001 	-2.026804e-001 	6.397416e-001 	6.643999e-001 	2.314566e-001 	-1.938717e-001 	1.040459e-001 	0.000000e+000
  0.220000		-2.147176e-001 	-2.062187e-001 	7.992181e-001 	8.427794e-001 	2.036874e-001 	-2.603167e-002 	1.664668e-001 	1.700000e+001
  0.237000		-2.243726e-001 	-2.957483e-001 	6.843011e-001 	6.791352e-001 	1.224810e-002 	1.077610e-001 	1.137338e-001 	3.700000e+001
  0.253000		-4.171701e-001 	-4.649764e-001 	4.233442e-001 	3.972203e-001 	-2.244390e-001 	1.081377e-001 	-3.132704e-002 	4.600000e+001
  0.270000		-6.154280e-001 	-5.993824e-001 	1.966897e-001 	1.979668e-001 	-3.469383e-001 	-3.040405e-002 	-1.721528e-001 	5.200000e+001
  0.287000		-5.332395e-001 	-6.439899e-001 	6.437696e-002 	1.340319e-001 	-2.692922e-001 	-1.570556e-001 	-2.327429e-001 	5.700000e+001
  0.304000		-3.155092e-001 	-6.663814e-001 	1.646979e-002 	1.386403e-001 	-1.086020e-001 	-1.997528e-001 	-2.257330e-001 	6.000000e+001
  0.321000		-3.284491e-001 	-6.781084e-001 	4.150517e-002 	1.513427e-001 	-1.494265e-002 	-2.193014e-001 	-2.051612e-001 	6.300000e+001
  0.338000		-5.088900e-001 	-6.350637e-001 	7.202594e-002 	1.571630e-001 	-2.613460e-003 	-2.015946e-001 	-1.925803e-001 	6.300000e+001
  0.355000		-5.241244e-001 	-6.059905e-001 	5.382440e-002 	1.380012e-001 	-1.515482e-002 	-1.473542e-001 	-1.862136e-001 	6.400000e+001
  0.372000		-4.128223e-001 	-6.310434e-001 	3.593546e-002 	1.467069e-001 	4.388673e-002 	-1.311591e-001 	-1.956691e-001 	6.300000e+001
  0.389000		-6.050298e-001 	-6.171066e-001 	5.110420e-003 	1.033017e-001 	-5.558906e-002 	-1.700539e-001 	-2.315087e-001 	5.800000e+001
  0.406000		-8.452702e-001 	-5.448193e-001 	-2.537740e-002 	3.795315e-002 	-1.538247e-001 	-1.784785e-001 	-2.578470e-001 	5.100000e+001
  0.422000		-7.759849e-001 	-5.002971e-001 	-8.188614e-003 	3.274667e-002 	-8.332134e-002 	-1.089017e-001 	-2.417022e-001 	4.700000e+001
  0.439000		-6.790679e-001 	-4.827628e-001 	1.423978e-002 	2.401122e-002 	-6.318360e-002 	-8.639745e-003 	-2.049015e-001 	5.000000e+001
  0.456000		-7.129137e-001 	-4.274442e-001 	4.090729e-002 	2.779692e-002 	-4.999431e-002 	6.393319e-002 	-1.758794e-001 	5.700000e+001
  0.473000		-8.493902e-001 	-3.108931e-001 	8.158024e-002 	2.359149e-002 	-8.367205e-002 	7.190787e-002 	-1.638263e-001 	7.000000e+001
  0.490000		-8.542391e-001 	-1.784531e-001 	8.100637e-002 	-1.186025e-002 	-1.529369e-001 	3.458241e-002 	-1.656852e-001 	8.400000e+001
  0.507000		-6.210743e-001 	-8.233551e-002 	-4.415289e-002 	-9.838499e-002 	-2.861629e-001 	-1.408216e-002 	-1.865274e-001 	9.600000e+001
  0.524000		-3.486280e-001 	-3.390689e-002 	-2.537805e-001 	-2.062025e-001 	-4.895091e-001 	-9.977208e-002 	-2.326761e-001 	1.040000e+002
  0.541000		-9.943612e-002 	4.828238e-003 	-4.793375e-001 	-3.624284e-001 	-6.365141e-001 	-2.008901e-001 	-2.877862e-001 	1.070000e+002
