Local Traces SL in %
Number of Frames 72 
FR= 54 Left Marker Time=0.186000 Right Marker Time=1.133000 ES Time=0.501000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		-1.798268e+000 	-9.033134e-001 	-5.287441e-001 	-1.401421e+000 	-1.592210e+000 	-1.509759e+000 	-1.282161e+000 	1.100000e+002
  0.019000		-1.705112e+000 	-8.509298e-001 	-4.561524e-001 	-1.357218e+000 	-1.409891e+000 	-1.302280e+000 	-1.165653e+000 	1.100000e+002
  0.037000		-1.730946e+000 	-8.329385e-001 	-3.538359e-001 	-1.186717e+000 	-1.215832e+000 	-1.000885e+000 	-1.029572e+000 	1.080000e+002
  0.056000		-1.733983e+000 	-7.667203e-001 	-2.344643e-001 	-9.101857e-001 	-1.006164e+000 	-6.814878e-001 	-8.572207e-001 	8.300000e+001
  0.074000		-1.622172e+000 	-5.450820e-001 	-7.684418e-002 	-6.421614e-001 	-7.780541e-001 	-3.920887e-001 	-6.456274e-001 	6.100000e+001
  0.093000		-1.367402e+000 	-2.818689e-001 	8.033388e-002 	-3.994427e-001 	-5.371562e-001 	-1.322944e-001 	-4.117018e-001 	6.600000e+001
  0.111000		-9.662171e-001 	-8.483959e-002 	1.570784e-001 	-1.995962e-001 	-2.827159e-001 	9.701691e-002 	-1.837192e-001 	7.800000e+001
  0.130000		-4.875393e-001 	6.595919e-002 	1.481407e-001 	-6.248237e-002 	-2.307878e-002 	2.905784e-001 	6.027711e-003 	8.500000e+001
  0.149000		-1.052355e-001 	1.755110e-001 	1.221553e-001 	1.144857e-002 	1.230116e-001 	3.538333e-001 	1.174677e-001 	1.210000e+002
  0.167000		4.289458e-002 	1.697209e-001 	1.114603e-001 	3.709832e-002 	1.188334e-001 	2.397933e-001 	1.176730e-001 	2.120000e+002
  0.186000		0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	2.420000e+002
  0.204000		-7.697382e-002 	-2.485097e-001 	-3.818713e-001 	-2.191128e-001 	-1.253318e-001 	-1.978732e-001 	-2.060382e-001 	8.300000e+001
