Local Traces SrL in 1/s
Number of Frames 47 
FR= 55 Left Marker Time=0.109000 Right Marker Time=0.730000 ES Time=0.474000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		6.942891e-003 	-1.456685e-001 	1.247218e-002 	2.754782e-001 	4.489827e-001 	2.750960e-001 	1.012119e-001 	6.600000e+001
  0.018000		-6.936221e-002 	-2.203714e-002 	2.570538e-002 	1.860442e-001 	3.080292e-001 	2.380242e-001 	8.782685e-002 	6.800000e+001
  0.036000		-7.001355e-002 	2.466877e-002 	1.767792e-002 	5.551647e-002 	1.012666e-001 	1.459613e-001 	5.890902e-002 	6.900000e+001
  0.055000		1.564293e-001 	-4.426896e-002 	-4.596544e-003 	1.456788e-002 	-1.423021e-003 	4.750438e-002 	3.804228e-002 	6.700000e+001
  0.073000		1.707138e-001 	7.635952e-002 	1.104540e-002 	2.477451e-002 	-4.322709e-002 	-7.431838e-003 	2.386262e-002 	7.400000e+001
  0.091000		-7.389052e-002 	1.373739e-001 	5.620143e-002 	-1.504693e-002 	-7.338591e-002 	-2.651572e-002 	-8.210153e-003 	1.300000e+002
  0.109000		-1.829732e-001 	1.712106e-002 	3.991604e-002 	-6.502431e-002 	-1.036115e-001 	-7.004884e-002 	-5.055466e-002 	2.310000e+002
  0.128000		-1.530515e-001 	-7.463744e-002 	-4.430474e-002 	-4.556578e-002 	-8.415255e-002 	-1.434667e-001 	-5.936109e-002 	2.290000e+002
  0.146000		1.766386e-001 	-2.003802e-002 	-1.038810e-001 	2.771455e-002 	8.934349e-003 	-1.785424e-001 	-7.465444e-003 	8.800000e+001
  0.164000		5.235734e-001 	7.428561e-002 	-1.161769e-001 	9.848757e-002 	1.206148e-001 	-1.366352e-001 	6.411054e-002 	1.000000e+000
  0.182000		5.159799e-001 	9.649625e-002 	-7.303583e-002 	9.001335e-002 	1.285524e-001 	-8.877203e-002 	8.972810e-002 	1.300000e+001
  0.201000		3.299260e-001 	7.371883e-002 	-3.406253e-002 	3.997543e-003 	1.856771e-002 	-4.484933e-002 	5.522460e-002 	3.300000e+001
  0.219000		1.336504e-001 	4.030650e-003 	-6.269950e-002 	-1.019631e-001 	-1.013109e-001 	-6.376706e-003 	-5.923716e-003 	4.800000e+001
