Local Traces SrL in 1/s
Number of Frames 144 
FR= 75 Left Marker Time=0.266000 Right Marker Time=1.634000 ES Time=0.664000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		-7.841944e-002 	1.134133e-002 	9.493471e-002 	1.024491e-001 	-3.288675e-002 	-1.938368e-002 	1.371891e-002 	7.900000e+001
  0.013000		-3.457333e-002 	1.486434e-002 	6.532071e-002 	9.087097e-002 	-2.055110e-002 	-2.604284e-002 	1.582712e-002 	7.700000e+001
  0.027000		4.351370e-002 	-2.154322e-004 	3.871660e-002 	8.022451e-002 	-2.646260e-003 	-2.731927e-002 	2.117960e-002 	7.400000e+001
  0.040000		6.268610e-002 	2.854201e-002 	2.331267e-002 	8.080492e-002 	1.249239e-002 	-2.465476e-002 	2.527307e-002 	7.400000e+001
  0.053000		1.752345e-002 	3.216428e-002 	1.086725e-002 	7.750970e-002 	2.528872e-002 	-2.191115e-002 	2.331497e-002 	7.400000e+001
  0.066000		1.842335e-003 	1.889435e-002 	-6.982446e-003 	6.765888e-002 	3.252399e-002 	-1.414443e-002 	1.808933e-002 	7.300000e+001
  0.080000		2.288935e-002 	2.322793e-002 	-1.644087e-002 	5.105183e-002 	7.412653e-003 	-4.412308e-003 	1.324698e-002 	7.200000e+001
  0.093000		-1.686266e-003 	3.533463e-002 	3.148388e-003 	3.527915e-002 	-2.785443e-002 	8.543512e-004 	9.594874e-003 	7.600000e+001
  0.106000		4.223760e-003 	5.305150e-002 	4.355401e-003 	3.605636e-002 	-3.128681e-002 	-4.540322e-003 	7.347153e-003 	8.100000e+001
  0.120000		5.233638e-002 	1.765155e-002 	-7.162034e-003 	4.660047e-002 	-2.664617e-002 	-1.109178e-002 	4.691323e-003 	8.200000e+001
  0.133000		6.826152e-002 	1.669017e-002 	-2.731911e-002 	4.931333e-002 	-1.673293e-002 	-1.879553e-002 	8.000410e-003 	8.000000e+001
  0.146000		1.012424e-001 	3.906569e-002 	-3.717137e-002 	5.162961e-002 	3.174843e-002 	2.999789e-002 	4.073855e-002 	7.900000e+001
  0.159000		2.250805e-001 	5.509960e-002 	-3.024319e-002 	7.720292e-002 	1.516642e-001 	2.231488e-001 	1.339962e-001 	7.600000e+001
  0.173000		4.770074e-001 	1.235081e-001 	9.324209e-003 	1.837195e-001 	3.742824e-001 	5.466562e-001 	3.015869e-001 	7.300000e+001
  0.186000		7.920720e-001 	2.950481e-001 	9.982655e-002 	4.065151e-001 	6.732168e-001 	8.303249e-001 	5.141010e-001 	7.200000e+001
  0.199000		1.055990e+000 	5.182847e-001 	2.244582e-001 	6.986282e-001 	8.985154e-001 	8.722331e-001 	7.083168e-001 	7.100000e+001
  0.213000		1.244806e+000 	7.212759e-001 	4.397994e-001 	9.357660e-001 	9.261228e-001 	7.241994e-001 	8.291939e-001 	6.400000e+001
  0.226000		1.150333e+000 	8.098331e-001 	7.501179e-001 	1.079763e+000 	8.196764e-001 	5.691158e-001 	8.342694e-001 	6.100000e+001
  0.239000		8.442324e-001 	6.704166e-001 	8.036495e-001 	1.033214e+000 	6.261226e-001 	4.003390e-001 	6.907611e-001 	9.400000e+001
  0.252000		4.795223e-001 	3.559933e-001 	5.359962e-001 	7.303648e-001 	3.117961e-001 	1.840256e-001 	4.213034e-001 	1.800000e+002
  0.266000		6.406458e-002 	2.100743e-002 	2.337516e-001 	3.467865e-001 	-3.115242e-002 	-3.031118e-002 	1.155396e-001 	2.520000e+002
  0.279000		-2.385316e-001 	-1.990574e-001 	4.915026e-002 	7.079906e-003 	-2.989534e-001 	-2.238787e-001 	-1.311667e-001 	2.120000e+002
  0.292000		-3.028989e-001 	-2.192966e-001 	-5.270055e-002 	-3.157945e-001 	-4.692442e-001 	-3.680338e-001 	-2.762375e-001 	9.600000e+001
  0.306000		-1.975582e-001 	-1.532034e-001 	-1.588675e-001 	-5.889028e-001 	-5.475102e-001 	-4.268416e-001 	-3.397242e-001 	1.700000e+001
  0.319000		-2.327349e-001 	-2.189575e-001 	-2.020285e-001 	-5.940099e-001 	-5.236821e-001 	-4.304234e-001 	-3.792512e-001 	0.000000e+000
  0.332000		-4.778572e-001 	-4.559766e-001 	-2.715765e-001 	-4.686940e-001 	-4.872385e-001 	-4.343077e-001 	-4.571888e-001 	9.000000e+000
  0.345000		-8.047514e-001 	-7.493119e-001 	-4.547152e-001 	-5.150916e-001 	-5.846798e-001 	-4.445097e-001 	-5.930355e-001 	2.400000e+001
  0.359000		-9.637922e-001 	-8.994382e-001 	-6.778495e-001 	-7.849352e-001 	-7.984787e-001 	-4.514496e-001 	-7.451929e-001 	3.700000e+001
  0.372000		-9.885828e-001 	-8.913909e-001 	-8.150157e-001 	-1.093719e+000 	-9.954915e-001 	-4.927058e-001 	-8.633380e-001 	4.800000e+001
  0.385000		-9.457509e-001 	-8.320960e-001 	-8.878280e-001 	-1.288948e+000 	-1.108288e+000 	-5.981052e-001 	-9.299857e-001 	5.200000e+001
  0.399000		-9.321744e-001 	-7.635349e-001 	-8.579220e-001 	-1.336565e+000 	-1.145910e+000 	-7.035597e-001 	-9.556898e-001 	5.100000e+001
  0.412000		-1.136291e+000 	-7.727492e-001 	-7.292249e-001 	-1.266774e+000 	-1.107143e+000 	-7.806706e-001 	-9.636464e-001 	5.400000e+001
  0.425000		-1.264007e+000 	-8.103740e-001 	-6.678881e-001 	-1.192251e+000 	-1.046888e+000 	-8.450564e-001 	-9.631769e-001 	6.100000e+001
  0.438000		-1.262447e+000 	-8.297074e-001 	-6.371351e-001 	-1.103043e+000 	-1.004351e+000 	-8.651237e-001 	-9.493119e-001 	6.500000e+001
  0.452000		-1.222428e+000 	-8.477550e-001 	-6.353075e-001 	-1.052480e+000 	-9.737662e-001 	-8.345969e-001 	-9.180083e-001 	6.800000e+001
  0.465000		-9.790737e-001 	-8.260369e-001 	-6.932950e-001 	-1.007709e+000 	-9.280088e-001 	-7.912615e-001 	-8.628583e-001 	7.200000e+001
  0.478000		-6.657383e-001 	-8.530181e-001 	-7.044965e-001 	-9.098148e-001 	-8.655099e-001 	-7.267800e-001 	-7.880009e-001 	7.400000e+001
  0.491000		-6.090010e-001 	-8.903505e-001 	-6.140921e-001 	-7.300391e-001 	-7.970118e-001 	-6.378854e-001 	-7.071692e-001 	7.000000e+001
  0.505000		-6.727229e-001 	-7.828784e-001 	-5.251657e-001 	-6.479634e-001 	-7.503597e-001 	-5.846444e-001 	-6.346023e-001 	7.000000e+001
