Local Traces SrL in 1/s
Number of Frames 113 
FR= 75 Left Marker Time=0.213000 Right Marker Time=1.275000 ES Time=0.558000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		-4.261392e-003 	3.178756e-002 	6.551119e-002 	1.093918e-001 	7.315005e-002 	-1.753909e-002 	3.453967e-002 	7.100000e+001
  0.013000		-2.115128e-003 	1.611785e-002 	7.055911e-002 	8.070405e-002 	4.582258e-002 	-4.299084e-003 	2.907602e-002 	7.700000e+001
  0.027000		-2.064933e-002 	-1.705918e-002 	6.320085e-002 	5.948811e-002 	3.385591e-004 	1.799943e-002 	1.702067e-002 	8.400000e+001
  0.040000		-4.346519e-002 	-4.241009e-002 	5.767519e-002 	8.103046e-002 	-1.805204e-002 	2.877210e-002 	9.278241e-003 	9.000000e+001
  0.053000		-2.562919e-002 	-8.196741e-002 	7.795153e-002 	9.789609e-002 	1.560924e-002 	4.601541e-002 	1.728606e-002 	9.000000e+001
  0.066000		2.981403e-002 	-8.342262e-002 	8.200709e-002 	1.027195e-001 	1.057636e-001 	9.255610e-002 	5.365355e-002 	8.500000e+001
  0.080000		1.246074e-001 	1.820047e-002 	4.793861e-002 	1.012550e-001 	2.279535e-001 	2.380576e-001 	1.346615e-001 	7.700000e+001
  0.093000		2.530645e-001 	1.673304e-001 	3.976159e-002 	1.540379e-001 	3.886139e-001 	5.426308e-001 	2.684045e-001 	7.100000e+001
  0.106000		4.204875e-001 	3.289566e-001 	1.193828e-001 	3.187143e-001 	5.760324e-001 	8.035451e-001 	4.361813e-001 	6.800000e+001
  0.120000		6.704895e-001 	5.273522e-001 	2.482151e-001 	4.859326e-001 	7.071619e-001 	9.075551e-001 	5.939171e-001 	6.800000e+001
  0.133000		8.803682e-001 	6.840892e-001 	3.791367e-001 	5.885191e-001 	7.656092e-001 	8.808137e-001 	6.853922e-001 	7.100000e+001
  0.146000		9.530855e-001 	7.257011e-001 	3.922991e-001 	6.155593e-001 	7.213176e-001 	6.905133e-001 	6.615092e-001 	6.700000e+001
  0.159000		8.121764e-001 	6.192478e-001 	2.994277e-001 	4.575675e-001 	4.756433e-001 	4.582961e-001 	5.117109e-001 	5.800000e+001
  0.173000		4.480334e-001 	3.479037e-001 	1.707250e-001 	2.195773e-001 	1.681419e-001 	2.308310e-001 	2.794038e-001 	5.600000e+001
  0.186000		3.283660e-002 	2.160071e-002 	1.788779e-002 	7.788885e-002 	-2.067182e-002 	1.106342e-002 	2.733843e-002 	1.030000e+002
  0.199000		-4.147406e-001 	-3.551079e-001 	-1.293331e-001 	2.202631e-003 	-1.426781e-001 	-1.379754e-001 	-2.106421e-001 	2.060000e+002
  0.213000		-7.968209e-001 	-7.250495e-001 	-3.198053e-001 	-1.282514e-001 	-2.922474e-001 	-2.346973e-001 	-4.098956e-001 	2.520000e+002
  0.226000		-9.495070e-001 	-8.739558e-001 	-4.242055e-001 	-3.278148e-001 	-4.701425e-001 	-3.010081e-001 	-5.257369e-001 	1.570000e+002
  0.239000		-8.539613e-001 	-7.698357e-001 	-3.520470e-001 	-4.017263e-001 	-5.599194e-001 	-3.355410e-001 	-5.392126e-001 	3.900000e+001
  0.252000		-7.041463e-001 	-5.760080e-001 	-2.663293e-001 	-4.199040e-001 	-5.709931e-001 	-3.831478e-001 	-5.050637e-001 	1.000000e+000
  0.266000		-7.268681e-001 	-5.102494e-001 	-2.655214e-001 	-4.146470e-001 	-5.427549e-001 	-4.585672e-001 	-4.968275e-001 	1.400000e+001
  0.279000		-9.050615e-001 	-7.122378e-001 	-3.740005e-001 	-2.374136e-001 	-4.274002e-001 	-5.462121e-001 	-5.441792e-001 	3.400000e+001
  0.292000		-1.136798e+000 	-1.141441e+000 	-5.645951e-001 	4.164732e-002 	-3.007688e-001 	-6.858897e-001 	-6.393817e-001 	4.600000e+001
  0.306000		-1.302896e+000 	-1.429093e+000 	-6.410998e-001 	1.249433e-001 	-3.444170e-001 	-8.686423e-001 	-7.526729e-001 	5.100000e+001
  0.319000		-1.327349e+000 	-1.456024e+000 	-7.081651e-001 	-9.156057e-002 	-5.500005e-001 	-1.000820e+000 	-8.504161e-001 	5.600000e+001
