Local Traces SrL in 1/s
Number of Frames 115 
FR= 75 Left Marker Time=0.213000 Right Marker Time=1.302000 ES Time=0.558000
Time (s) 		   YELLOW    	     CYAN    	    GREEN    	  MAGENTA    	     BLUE    	      RED    	  GLOBAL     	ECG : 
  0.000000		9.463930e-002 	-7.144224e-002 	6.726833e-002 	7.881959e-002 	-2.376375e-002 	5.399976e-002 	3.067859e-002 	7.400000e+001
  0.013000		8.162233e-002 	-4.787603e-002 	5.595557e-002 	6.259583e-002 	-2.205631e-002 	6.360078e-002 	2.882156e-002 	8.000000e+001
  0.027000		5.185149e-002 	-3.765641e-002 	4.313497e-002 	4.058447e-002 	-9.087360e-003 	7.030143e-002 	2.223884e-002 	8.700000e+001
  0.040000		3.912607e-002 	-5.427809e-002 	3.591883e-002 	4.096495e-002 	1.194448e-003 	4.350180e-002 	1.272420e-002 	9.100000e+001
  0.053000		4.264765e-002 	-7.893280e-002 	1.385584e-002 	6.713674e-002 	1.384454e-002 	2.296484e-002 	1.090319e-002 	9.000000e+001
  0.066000		6.699667e-002 	-9.397886e-002 	2.525301e-002 	1.201663e-001 	5.592507e-002 	3.678626e-002 	3.717411e-002 	8.400000e+001
  0.080000		1.796885e-001 	-3.905170e-002 	7.616226e-002 	1.861683e-001 	1.207079e-001 	1.343752e-001 	1.145224e-001 	7.700000e+001
  0.093000		3.680467e-001 	1.028345e-001 	1.601995e-001 	2.520577e-001 	2.310114e-001 	3.662176e-001 	2.539482e-001 	7.300000e+001
  0.106000		5.779067e-001 	3.318969e-001 	3.371802e-001 	3.514396e-001 	4.025302e-001 	5.984950e-001 	4.396178e-001 	7.200000e+001
  0.120000		6.433515e-001 	5.944759e-001 	6.859371e-001 	5.765569e-001 	5.739480e-001 	6.804666e-001 	6.191699e-001 	7.300000e+001
  0.133000		5.116658e-001 	7.737873e-001 	9.990139e-001 	8.784856e-001 	7.100325e-001 	5.543938e-001 	7.154621e-001 	7.200000e+001
  0.146000		2.435482e-001 	7.059050e-001 	9.834968e-001 	1.019739e+000 	7.901924e-001 	3.642902e-001 	6.776436e-001 	6.700000e+001
