Local Traces SL in %
Number of Frames 95 
FR= 69 Left Marker Time=0.188000 Right Marker Time=1.169000 ES Time=0.592000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		-2.687383e+000 	-3.786771e+000 	-4.154347e+000 	-7.491085e+000 	-5.456566e+000 	-6.331019e+000 	-4.991141e+000 	7.600000e+001
  0.014000		-3.052996e+000 	-3.815643e+000 	-4.228396e+000 	-7.357593e+000 	-5.333665e+000 	-6.059195e+000 	-4.964503e+000 	7.500000e+001
  0.029000		-3.171515e+000 	-3.857630e+000 	-4.317297e+000 	-7.258181e+000 	-5.210415e+000 	-5.809244e+000 	-4.931561e+000 	7.400000e+001
  0.043000		-3.143305e+000 	-3.920650e+000 	-4.447954e+000 	-7.202025e+000 	-5.098277e+000 	-5.570091e+000 	-4.892510e+000 	7.300000e+001
  0.058000		-3.120561e+000 	-3.923021e+000 	-4.565098e+000 	-7.130138e+000 	-5.007868e+000 	-5.317411e+000 	-4.836847e+000 	7.400000e+001
  0.072000		-3.064339e+000 	-3.851290e+000 	-4.606720e+000 	-7.025657e+000 	-4.917571e+000 	-4.998347e+000 	-4.730516e+000 	7.400000e+001
  0.087000		-2.870293e+000 	-3.747927e+000 	-4.561847e+000 	-6.874309e+000 	-4.701870e+000 	-4.528221e+000 	-4.509624e+000 	7.400000e+001
  0.101000		-2.499618e+000 	-3.482680e+000 	-4.331870e+000 	-6.542867e+000 	-4.223651e+000 	-3.836510e+000 	-4.089138e+000 	7.200000e+001
  0.115000		-2.072989e+000 	-2.859799e+000 	-3.792717e+000 	-5.889811e+000 	-3.407688e+000 	-2.932604e+000 	-3.411689e+000 	6.700000e+001
  0.130000		-1.547145e+000 	-1.963096e+000 	-2.924875e+000 	-4.776909e+000 	-2.347422e+000 	-1.919050e+000 	-2.504917e+000 	6.000000e+001
  0.144000		-9.226283e-001 	-1.050168e+000 	-1.857428e+000 	-3.265416e+000 	-1.232057e+000 	-9.792862e-001 	-1.508709e+000 	6.000000e+001
  0.159000		-4.732644e-001 	-3.144460e-001 	-8.933556e-001 	-1.778837e+000 	-2.861235e-001 	-2.091086e-001 	-6.395443e-001 	9.100000e+001
  0.173000		-1.073896e-001 	9.574331e-002 	-2.458218e-001 	-6.539235e-001 	2.040311e-001 	2.244355e-001 	-1.028227e-001 	1.670000e+002
  0.188000		0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	2.450000e+002
