Local Traces SL in %
Number of Frames 111 
FR= 75 Left Marker Time=0.213000 Right Marker Time=1.275000 ES Time=0.611000
Time (s) 		   YELLOW    	     CYAN    	    GREEN    	  MAGENTA    	     BLUE    	      RED    	  GLOBAL     	ECG : 
  0.000000		-4.619925e+000 	-6.917946e+000 	-1.055401e+001 	-1.027790e+001 	-5.236615e+000 	-5.383873e+000 	-7.054210e+000 	7.100000e+001
  0.013000		-4.817500e+000 	-6.877409e+000 	-1.041010e+001 	-1.011728e+001 	-5.093185e+000 	-5.265341e+000 	-6.995209e+000 	7.200000e+001
  0.027000		-5.010474e+000 	-6.843513e+000 	-1.024985e+001 	-1.004267e+001 	-4.985401e+000 	-5.163833e+000 	-6.937465e+000 	7.200000e+001
  0.040000		-5.328412e+000 	-6.812003e+000 	-1.001298e+001 	-9.912507e+000 	-4.828412e+000 	-5.050802e+000 	-6.867256e+000 	7.300000e+001
  0.053000		-5.726077e+000 	-6.711034e+000 	-9.667052e+000 	-9.664119e+000 	-4.672413e+000 	-4.925638e+000 	-6.776786e+000 	7.400000e+001
  0.066000		-6.034573e+000 	-6.566972e+000 	-9.249416e+000 	-9.410644e+000 	-4.650352e+000 	-4.822577e+000 	-6.682908e+000 	7.600000e+001
  0.080000		-6.240939e+000 	-6.394535e+000 	-8.834483e+000 	-9.346387e+000 	-4.776762e+000 	-4.673648e+000 	-6.605047e+000 	7.700000e+001
  0.093000		-6.342760e+000 	-6.141934e+000 	-8.496892e+000 	-9.486669e+000 	-4.956040e+000 	-4.424408e+000 	-6.530263e+000 	7.700000e+001
  0.106000		-6.293033e+000 	-5.815764e+000 	-8.204187e+000 	-9.648234e+000 	-5.117894e+000 	-4.077239e+000 	-6.398328e+000 	7.500000e+001
  0.120000		-5.954047e+000 	-5.420701e+000 	-7.879500e+000 	-9.699682e+000 	-5.112390e+000 	-3.487316e+000 	-6.102427e+000 	7.100000e+001
  0.133000		-5.208309e+000 	-4.890038e+000 	-7.411905e+000 	-9.521820e+000 	-4.752155e+000 	-2.455374e+000 	-5.527391e+000 	6.800000e+001
  0.146000		-4.157472e+000 	-4.127376e+000 	-6.634817e+000 	-8.779724e+000 	-3.877094e+000 	-1.167341e+000 	-4.627601e+000 	6.600000e+001
  0.159000		-2.969470e+000 	-3.068288e+000 	-5.473724e+000 	-7.419144e+000 	-2.658861e+000 	-6.996533e-002 	-3.483282e+000 	6.300000e+001
  0.173000		-2.023696e+000 	-1.974188e+000 	-3.880723e+000 	-5.436537e+000 	-1.428874e+000 	5.343794e-001 	-2.270204e+000 	6.200000e+001
  0.186000		-1.348521e+000 	-1.063826e+000 	-2.181050e+000 	-3.224618e+000 	-5.170359e-001 	6.346109e-001 	-1.180777e+000 	7.700000e+001
  0.199000		-6.631752e-001 	-3.645866e-001 	-7.622765e-001 	-1.243161e+000 	-8.311523e-003 	4.184179e-001 	-3.767762e-001 	1.240000e+002
  0.213000		0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	2.000000e+002
  0.226000		5.340962e-001 	3.396214e-002 	-1.310311e-001 	1.020604e-002 	-6.260432e-001 	-5.586093e-001 	-1.018586e-001 	2.290000e+002
  0.239000		1.110106e+000 	-9.532928e-002 	-1.026976e+000 	-1.026843e+000 	-1.668121e+000 	-1.088003e+000 	-5.525773e-001 	1.680000e+002
  0.252000		2.003301e+000 	-1.889473e-001 	-2.542365e+000 	-2.757937e+000 	-2.627105e+000 	-1.242370e+000 	-1.113578e+000 	7.400000e+001
  0.266000		2.840881e+000 	-2.642940e-001 	-4.224720e+000 	-4.493467e+000 	-3.135210e+000 	-9.250587e-001 	-1.607634e+000 	2.000000e+001
  0.279000		3.171450e+000 	-6.177823e-001 	-5.627169e+000 	-5.540642e+000 	-3.293214e+000 	-5.250072e-001 	-2.016422e+000 	1.100000e+001
  0.292000		2.846532e+000 	-1.387038e+000 	-6.646312e+000 	-5.851261e+000 	-3.331261e+000 	-3.834397e-001 	-2.434744e+000 	2.100000e+001
  0.306000		1.966096e+000 	-2.448195e+000 	-7.280590e+000 	-5.821844e+000 	-3.660011e+000 	-6.512811e-001 	-2.975597e+000 	3.000000e+001
  0.319000		7.268433e-001 	-3.631233e+000 	-7.663766e+000 	-5.902049e+000 	-4.478490e+000 	-1.268758e+000 	-3.695734e+000 	3.900000e+001
  0.332000		-5.038915e-001 	-4.790292e+000 	-8.100069e+000 	-6.424735e+000 	-5.680676e+000 	-2.152585e+000 	-4.569296e+000 	4.600000e+001
  0.345000		-1.494932e+000 	-5.828243e+000 	-8.521987e+000 	-7.225151e+000 	-7.061715e+000 	-3.201553e+000 	-5.516353e+000 	5.200000e+001
  0.359000		-2.217603e+000 	-6.824714e+000 	-9.098848e+000 	-8.191836e+000 	-8.430211e+000 	-4.261406e+000 	-6.482162e+000 	5.600000e+001
  0.372000		-3.017084e+000 	-7.755999e+000 	-9.726337e+000 	-9.228890e+000 	-9.745244e+000 	-5.358538e+000 	-7.459688e+000 	6.000000e+001
  0.385000		-4.146048e+000 	-8.681323e+000 	-1.020158e+001 	-1.013390e+001 	-1.101524e+001 	-6.617783e+000 	-8.464257e+000 	6.500000e+001
  0.399000		-5.538994e+000 	-9.701103e+000 	-1.057599e+001 	-1.093175e+001 	-1.228704e+001 	-8.031493e+000 	-9.508269e+000 	6.900000e+001
  0.412000		-7.002718e+000 	-1.078118e+001 	-1.098105e+001 	-1.177419e+001 	-1.362620e+001 	-9.426006e+000 	-1.057566e+001 	7.300000e+001
  0.425000		-8.293978e+000 	-1.184279e+001 	-1.149679e+001 	-1.266538e+001 	-1.491327e+001 	-1.071470e+001 	-1.162346e+001 	7.800000e+001
  0.438000		-9.391833e+000 	-1.281176e+001 	-1.203404e+001 	-1.350166e+001 	-1.612963e+001 	-1.196200e+001 	-1.262214e+001 	8.400000e+001
  0.452000		-1.046240e+001 	-1.364262e+001 	-1.255983e+001 	-1.436322e+001 	-1.737688e+001 	-1.317687e+001 	-1.357303e+001 	9.000000e+001
