Local Traces SrL in 1/s
Number of Frames 93 
FR= 55 Left Marker Time=0.237000 Right Marker Time=1.442000 ES Time=0.657000
Time (s) 		   YELLOW    	     CYAN    	    GREEN    	  MAGENTA    	     BLUE    	      RED    	  GLOBAL     	ECG : 
  0.000000		3.264844e-002 	-5.451639e-003 	2.493185e-002 	5.560711e-003 	-7.175586e-003 	-9.460760e-003 	3.453099e-003 	9.100000e+001
  0.018000		9.808592e-003 	-8.415921e-003 	1.884456e-002 	2.950040e-003 	-5.502374e-003 	-5.299916e-003 	3.301167e-003 	9.400000e+001
  0.036000		9.313585e-004 	-8.203304e-003 	1.963076e-002 	5.810283e-003 	-3.906591e-003 	1.395997e-002 	5.484658e-003 	9.800000e+001
  0.055000		2.249116e-002 	-4.948176e-003 	2.601209e-002 	2.602746e-002 	-4.520473e-003 	1.375932e-002 	1.191079e-002 	9.800000e+001
  0.073000		1.995671e-002 	-5.958603e-003 	3.531201e-002 	5.400530e-002 	1.620049e-002 	9.490791e-003 	2.419047e-002 	9.400000e+001
  0.091000		2.199121e-002 	9.725243e-003 	4.946953e-002 	6.449278e-002 	5.054793e-002 	5.514668e-002 	4.551207e-002 	9.000000e+001
  0.109000		4.978610e-002 	5.352813e-002 	5.988938e-002 	6.290426e-002 	8.669184e-002 	1.210388e-001 	7.282200e-002 	8.600000e+001
  0.128000		3.067686e-002 	1.001370e-001 	9.803853e-002 	7.275919e-002 	1.102867e-001 	1.743263e-001 	9.531094e-002 	8.300000e+001
  0.146000		-1.711395e-002 	1.206458e-001 	1.283319e-001 	7.693088e-002 	1.215791e-001 	1.831511e-001 	1.026975e-001 	8.200000e+001
  0.164000		-2.374769e-002 	9.806226e-002 	9.752275e-002 	7.111822e-002 	1.526946e-001 	1.571903e-001 	9.335505e-002 	8.000000e+001
  0.182000		-1.455925e-002 	4.294664e-002 	2.306093e-002 	7.851463e-002 	1.742459e-001 	1.237416e-001 	7.138041e-002 	8.000000e+001
  0.201000		6.108910e-003 	-9.509609e-003 	-5.566197e-002 	8.501580e-002 	1.554789e-001 	7.695050e-002 	4.245247e-002 	1.190000e+002
  0.219000		4.865548e-002 	-4.369389e-002 	-1.074415e-001 	8.286452e-002 	1.015830e-001 	7.453753e-003 	1.263662e-002 	2.250000e+002
  0.237000		1.100093e-001 	-7.151857e-002 	-1.183352e-001 	7.364371e-002 	2.678702e-002 	-7.238110e-002 	-1.195263e-002 	2.340000e+002
  0.255000		1.485021e-001 	-9.919955e-002 	-8.798242e-002 	6.124293e-002 	-4.052995e-002 	-1.286645e-001 	-2.385277e-002 	6.400000e+001
  0.274000		1.223479e-001 	-9.844030e-002 	1.092822e-003 	6.524183e-002 	-6.956983e-002 	-1.309647e-001 	-1.597524e-002 	1.000000e+000
  0.292000		4.200603e-002 	-5.724614e-002 	1.201400e-001 	5.998177e-002 	-4.379118e-002 	-5.948788e-002 	9.028642e-003 	3.700000e+001
  0.310000		-4.775350e-002 	-9.782556e-003 	2.056200e-001 	3.407939e-002 	-1.033402e-002 	3.996432e-002 	3.674418e-002 	5.800000e+001
  0.328000		-9.187694e-002 	2.009236e-002 	2.342888e-001 	2.015320e-002 	1.128384e-003 	1.006602e-001 	5.232475e-002 	6.500000e+001
  0.347000		-9.935703e-002 	2.028263e-002 	1.964882e-001 	4.550672e-002 	2.064647e-002 	9.534348e-002 	4.183035e-002 	6.900000e+001
  0.365000		-1.299582e-001 	-2.373422e-002 	8.583912e-002 	1.205597e-002 	1.717019e-002 	5.034897e-002 	-8.190810e-003 	7.300000e+001
  0.383000		-2.160360e-001 	-1.061208e-001 	-5.131251e-002 	-1.332262e-001 	-5.216701e-002 	-1.597826e-002 	-9.040648e-002 	7.700000e+001
  0.401000		-2.891376e-001 	-1.864127e-001 	-1.338791e-001 	-2.615907e-001 	-1.601116e-001 	-7.968064e-002 	-1.697017e-001 	8.000000e+001
  0.420000		-2.916301e-001 	-2.352980e-001 	-1.677807e-001 	-3.176649e-001 	-2.330150e-001 	-1.089603e-001 	-2.167996e-001 	8.100000e+001
  0.438000		-3.013635e-001 	-2.628110e-001 	-1.689208e-001 	-2.861134e-001 	-2.413310e-001 	-1.289805e-001 	-2.322656e-001 	8.300000e+001
  0.456000		-3.503724e-001 	-2.719077e-001 	-1.464144e-001 	-2.122329e-001 	-2.485020e-001 	-1.558207e-001 	-2.335416e-001 	8.400000e+001
  0.474000		-3.778074e-001 	-2.571653e-001 	-1.168888e-001 	-1.848312e-001 	-2.634381e-001 	-1.955006e-001 	-2.318046e-001 	8.500000e+001
  0.493000		-3.454949e-001 	-2.007222e-001 	-1.350190e-001 	-2.293286e-001 	-2.690203e-001 	-2.125556e-001 	-2.243645e-001 	8.600000e+001
  0.511000		-2.745901e-001 	-1.194879e-001 	-1.471528e-001 	-2.594265e-001 	-2.677073e-001 	-1.812609e-001 	-2.032460e-001 	8.600000e+001
  0.529000		-1.762699e-001 	-6.090341e-002 	-1.204419e-001 	-2.264119e-001 	-2.693981e-001 	-1.604695e-001 	-1.711812e-001 	8.500000e+001
  0.547000		-7.151055e-002 	-2.910685e-002 	-1.161661e-001 	-1.926743e-001 	-2.608172e-001 	-1.616776e-001 	-1.365211e-001 	8.400000e+001
  0.566000		-1.412735e-003 	-1.225004e-002 	-1.001365e-001 	-1.558964e-001 	-2.197255e-001 	-1.417725e-001 	-9.808765e-002 	8.100000e+001
  0.584000		4.993688e-002 	8.409284e-003 	-6.704607e-002 	-9.330192e-002 	-1.593414e-001 	-8.912933e-002 	-5.465809e-002 	7.600000e+001
  0.602000		7.568557e-002 	2.936071e-002 	-3.668901e-002 	-4.070535e-003 	-8.718169e-002 	-4.439972e-002 	-1.789270e-002 	7.000000e+001
  0.620000		6.331609e-002 	1.786499e-002 	-3.527727e-002 	5.686696e-002 	-3.561045e-002 	-6.065916e-002 	-4.203984e-003 	6.300000e+001
  0.639000		2.895582e-002 	-5.706226e-003 	-4.911519e-002 	3.626193e-002 	-3.060979e-002 	-7.260322e-002 	-1.459536e-002 	6.200000e+001
  0.657000		9.969246e-003 	-1.108164e-002 	-7.701248e-002 	-3.901396e-002 	-5.137911e-002 	-6.177041e-002 	-3.856998e-002 	7.000000e+001
