Local Traces SrL in 1/s
Number of Frames 61 
FR= 59 Left Marker Time=0.135000 Right Marker Time=0.879000 ES Time=0.558000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		1.354414e-001 	2.204404e-001 	2.793688e-001 	3.161951e-001 	2.157094e-001 	1.210075e-001 	2.469682e-001 	8.600000e+001
  0.017000		2.286920e-001 	2.575577e-001 	2.890314e-001 	3.788446e-001 	2.654065e-001 	1.608778e-001 	2.726800e-001 	8.000000e+001
  0.034000		3.252906e-001 	2.909391e-001 	3.014458e-001 	5.128346e-001 	4.099054e-001 	2.601796e-001 	3.403899e-001 	7.700000e+001
  0.051000		3.547602e-001 	3.016024e-001 	3.220162e-001 	6.265743e-001 	5.913855e-001 	3.683835e-001 	4.318279e-001 	7.500000e+001
  0.068000		4.982420e-001 	3.621485e-001 	3.547595e-001 	6.986719e-001 	7.343449e-001 	4.750053e-001 	5.319568e-001 	7.400000e+001
  0.084000		7.251284e-001 	4.484627e-001 	4.306836e-001 	8.047380e-001 	7.735305e-001 	5.387932e-001 	6.003954e-001 	7.400000e+001
  0.101000		5.960864e-001 	4.433084e-001 	5.493339e-001 	8.700981e-001 	6.673550e-001 	4.571983e-001 	5.642927e-001 	8.700000e+001
  0.118000		1.698312e-001 	3.219089e-001 	5.441024e-001 	7.293624e-001 	4.350829e-001 	2.186385e-001 	3.858069e-001 	1.460000e+002
  0.135000		-6.176469e-002 	2.339935e-001 	3.578206e-001 	2.491343e-001 	-1.057160e-002 	-1.486209e-001 	9.755964e-002 	2.370000e+002
  0.152000		1.988187e-002 	2.274697e-001 	8.211426e-002 	-5.040031e-001 	-7.292237e-001 	-5.518871e-001 	-2.217761e-001 	2.250000e+002
  0.169000		1.105481e-001 	1.810838e-001 	-1.866533e-001 	-1.133765e+000 	-1.352437e+000 	-8.431952e-001 	-4.691752e-001 	1.060000e+002
  0.186000		1.407474e-001 	7.755018e-002 	-4.109677e-001 	-1.352568e+000 	-1.357346e+000 	-8.362247e-001 	-5.609857e-001 	1.800000e+001
  0.203000		1.053094e-001 	-1.305513e-001 	-5.659123e-001 	-1.099096e+000 	-8.000898e-001 	-5.487916e-001 	-5.034378e-001 	1.000000e+000
  0.220000		-1.375582e-001 	-4.246494e-001 	-6.252565e-001 	-6.050324e-001 	-1.600631e-001 	-2.030477e-001 	-3.735616e-001 	1.400000e+001
  0.237000		-4.053533e-001 	-6.160357e-001 	-5.656787e-001 	-1.499524e-001 	2.864500e-001 	1.330683e-001 	-2.300449e-001 	3.000000e+001
