Local Traces SrL in 1/s
Number of Frames 58 
FR= 52 Left Marker Time=0.153000 Right Marker Time=0.936000 ES Time=0.592000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		3.017630e-001 	2.863660e-004 	8.110783e-002 	3.467005e-001 	1.323845e-001 	-3.112364e-001 	8.925525e-002 	1.100000e+002
  0.019000		2.012474e-001 	4.338027e-002 	7.787086e-002 	2.977678e-001 	1.144620e-001 	-2.030332e-001 	1.081259e-001 	1.040000e+002
  0.038000		1.659303e-001 	2.654652e-001 	1.136739e-001 	1.850338e-001 	1.643780e-001 	2.594416e-002 	1.683813e-001 	9.500000e+001
  0.057000		3.650122e-001 	4.869409e-001 	1.054881e-001 	9.553235e-002 	2.249586e-001 	2.769252e-001 	2.372986e-001 	8.700000e+001
  0.076000		5.852814e-001 	4.009088e-001 	-1.433079e-002 	8.991110e-002 	1.664186e-001 	4.419444e-001 	2.514159e-001 	8.400000e+001
  0.096000		4.952897e-001 	1.832184e-001 	-9.365157e-002 	1.024757e-001 	1.099640e-001 	4.122891e-001 	1.919382e-001 	8.500000e+001
  0.115000		2.250463e-001 	-2.288270e-002 	-1.094569e-001 	1.205854e-001 	1.048574e-001 	2.099147e-001 	9.602387e-002 	8.800000e+001
  0.134000		7.676182e-002 	-1.934597e-001 	-7.434081e-002 	1.996549e-001 	3.687746e-002 	-1.562669e-002 	1.614385e-002 	1.110000e+002
  0.153000		-5.511278e-003 	-2.285242e-001 	3.306105e-002 	3.154226e-001 	-8.190798e-002 	-1.583003e-001 	-1.953098e-002 	2.010000e+002
  0.172000		-6.574970e-002 	-2.002277e-001 	8.180358e-002 	3.739473e-001 	-1.101731e-001 	-2.158524e-001 	-1.376877e-002 	2.530000e+002
  0.191000		-6.237503e-002 	-1.296453e-001 	6.869255e-002 	3.157927e-001 	-5.344172e-003 	-1.306594e-001 	1.866566e-002 	2.090000e+002
  0.210000		-1.212068e-002 	-2.722983e-002 	4.661540e-002 	1.926401e-001 	1.308786e-001 	1.544937e-002 	4.634725e-002 	1.390000e+002
  0.229000		-2.169998e-002 	-6.632885e-003 	-3.445836e-002 	-1.987981e-002 	1.756473e-001 	1.499845e-001 	2.967026e-002 	8.200000e+001
  0.248000		-1.025409e-001 	-4.176623e-002 	-1.349161e-001 	-2.998007e-001 	1.019318e-001 	2.518833e-001 	-4.158407e-002 	1.800000e+001
  0.267000		-1.991691e-001 	-9.744570e-002 	-2.267061e-001 	-5.282351e-001 	-6.059821e-002 	2.131390e-001 	-1.477762e-001 	2.000000e+000
  0.287000		-2.094114e-001 	-1.616216e-001 	-3.224885e-001 	-7.009174e-001 	-2.219764e-001 	6.018284e-002 	-2.579623e-001 	2.200000e+001
  0.306000		-2.716771e-001 	-2.934001e-001 	-3.905740e-001 	-7.856900e-001 	-3.138234e-001 	-4.847714e-002 	-3.450509e-001 	3.900000e+001
  0.325000		-4.047724e-001 	-4.562849e-001 	-4.510898e-001 	-7.568488e-001 	-3.499749e-001 	-1.325884e-002 	-3.912112e-001 	5.300000e+001
  0.344000		-3.500356e-001 	-4.834936e-001 	-5.260635e-001 	-7.057305e-001 	-3.428025e-001 	3.274889e-002 	-3.989642e-001 	6.300000e+001
  0.363000		-3.588655e-001 	-4.604432e-001 	-5.103203e-001 	-6.752395e-001 	-3.474779e-001 	-1.013126e-002 	-3.968825e-001 	7.000000e+001
  0.382000		-3.076074e-001 	-4.102294e-001 	-4.690441e-001 	-7.416065e-001 	-3.830306e-001 	-1.219184e-001 	-4.067694e-001 	7.700000e+001
  0.401000		-1.371376e-001 	-3.553072e-001 	-5.152780e-001 	-9.017510e-001 	-4.193918e-001 	-2.241494e-001 	-4.343204e-001 	8.100000e+001
  0.420000		-2.457993e-001 	-3.366545e-001 	-5.426397e-001 	-1.003629e+000 	-4.473717e-001 	-2.798677e-001 	-4.735851e-001 	8.600000e+001
  0.439000		-3.778774e-001 	-3.424094e-001 	-5.941474e-001 	-1.021047e+000 	-4.456697e-001 	-2.980741e-001 	-5.040995e-001 	9.400000e+001
  0.459000		-4.371943e-001 	-3.736265e-001 	-6.565509e-001 	-1.025129e+000 	-4.035442e-001 	-2.346028e-001 	-5.073079e-001 	1.050000e+002
  0.478000		-3.783676e-001 	-3.473552e-001 	-6.848979e-001 	-1.058255e+000 	-3.563642e-001 	-1.202309e-001 	-4.797307e-001 	1.180000e+002
  0.497000		-1.345991e-001 	-2.661925e-001 	-7.388918e-001 	-1.122638e+000 	-3.385894e-001 	-4.696757e-002 	-4.378949e-001 	1.250000e+002
  0.516000		-8.323992e-003 	-1.875827e-001 	-7.445881e-001 	-1.193721e+000 	-3.106224e-001 	-5.387230e-002 	-4.030095e-001 	1.160000e+002
  0.535000		-6.066071e-002 	-1.480632e-001 	-6.401707e-001 	-1.142699e+000 	-2.680362e-001 	-8.655787e-002 	-3.816109e-001 	1.000000e+002
  0.554000		-1.191166e-001 	-1.734624e-001 	-6.205596e-001 	-9.806130e-001 	-1.917520e-001 	-1.296561e-001 	-3.715341e-001 	8.700000e+001
  0.573000		-1.670118e-001 	-2.838247e-001 	-7.012827e-001 	-7.350324e-001 	-6.458021e-002 	-1.904856e-001 	-3.467542e-001 	8.500000e+001
  0.592000		-2.215397e-001 	-3.550975e-001 	-5.762971e-001 	-2.360124e-001 	1.126378e-001 	-2.987441e-001 	-2.387670e-001 	8.600000e+001
  0.611000		-1.607567e-001 	-1.981451e-001 	-1.606488e-001 	5.980360e-001 	3.651720e-001 	-4.935013e-001 	2.464505e-002 	8.800000e+001
  0.631000		-1.523642e-002 	2.126031e-001 	6.948620e-001 	1.765001e+000 	5.682579e-001 	-5.614444e-001 	4.488298e-001 	8.900000e+001
  0.650000		2.096440e-001 	8.205653e-001 	1.808786e+000 	2.690688e+000 	5.958917e-001 	-3.036714e-001 	9.044807e-001 	8.900000e+001
  0.669000		6.381339e-001 	1.387770e+000 	2.324214e+000 	2.612405e+000 	5.044513e-001 	1.481719e-001 	1.177564e+000 	8.900000e+001
  0.688000		1.028325e+000 	1.480801e+000 	1.846901e+000 	1.766044e+000 	4.609986e-001 	5.541635e-001 	1.153072e+000 	8.900000e+001
  0.707000		1.014457e+000 	1.169261e+000 	1.057216e+000 	9.516878e-001 	5.117323e-001 	6.658661e-001 	9.014154e-001 	9.100000e+001
  0.726000		5.786970e-001 	6.036290e-001 	5.311833e-001 	6.773280e-001 	4.732766e-001 	4.720503e-001 	5.733860e-001 	9.300000e+001
  0.745000		1.772567e-002 	-4.615728e-002 	2.987289e-001 	8.073411e-001 	2.720463e-001 	2.404173e-001 	2.944707e-001 	9.500000e+001
  0.764000		-2.417622e-001 	-3.145391e-001 	2.650779e-001 	7.946178e-001 	9.067778e-002 	1.187408e-001 	1.295983e-001 	9.900000e+001
  0.783000		-1.479786e-001 	-1.756581e-001 	2.190327e-001 	5.139250e-001 	7.437081e-002 	-2.958070e-002 	7.248961e-002 	1.030000e+002
  0.802000		4.361287e-002 	7.885322e-002 	1.486019e-001 	2.371217e-001 	1.452617e-001 	-1.488541e-001 	9.038376e-002 	1.070000e+002
  0.822000		2.340730e-001 	2.833877e-001 	1.401452e-001 	9.126060e-002 	2.090791e-001 	-5.591742e-002 	1.554695e-001 	1.030000e+002
  0.841000		3.379930e-001 	3.509204e-001 	1.432854e-001 	6.837651e-002 	2.720153e-001 	2.644303e-001 	2.265001e-001 	9.200000e+001
  0.860000		4.249225e-001 	3.158174e-001 	4.488283e-002 	7.289342e-002 	2.654053e-001 	5.287039e-001 	2.508095e-001 	8.500000e+001
  0.879000		4.241960e-001 	2.176979e-001 	-5.673485e-002 	1.070494e-001 	1.885483e-001 	3.975552e-001 	2.061035e-001 	8.500000e+001
  0.898000		2.024136e-001 	6.670616e-002 	-7.110299e-003 	1.924657e-001 	8.745271e-002 	1.434128e-001 	1.229214e-001 	8.600000e+001
  0.917000		-7.450582e-002 	-8.802915e-002 	8.928468e-002 	2.656897e-001 	-3.220104e-002 	4.680645e-002 	4.784782e-002 	9.000000e+001
  0.936000		-2.123889e-001 	-1.716671e-001 	1.518743e-001 	3.370236e-001 	-1.185845e-001 	-2.162927e-004 	6.500583e-003 	1.260000e+002
  0.955000		-1.914722e-001 	-1.683562e-001 	1.494930e-001 	3.464106e-001 	-1.316427e-001 	-4.048943e-002 	-3.730097e-003 	2.150000e+002
  0.974000		-1.611197e-001 	-1.528340e-001 	7.424414e-002 	2.494295e-001 	-2.931208e-002 	-6.261042e-003 	1.592395e-003 	2.510000e+002
  0.994000		-1.357417e-001 	-1.111304e-001 	1.586560e-003 	9.938014e-002 	1.237325e-001 	7.361495e-002 	8.973105e-003 	1.930000e+002
  1.013000		-9.675150e-002 	-3.739451e-002 	-3.634648e-002 	-7.084163e-002 	1.790591e-001 	1.045530e-001 	3.651828e-003 	1.310000e+002
  1.032000		-1.935262e-002 	6.364824e-002 	-7.463531e-002 	-2.916781e-001 	1.204443e-001 	9.615680e-002 	-2.350668e-002 	7.100000e+001
  1.051000		8.303617e-002 	1.840576e-001 	-1.086971e-001 	-6.047341e-001 	2.011978e-002 	7.353100e-002 	-6.962919e-002 	7.000000e+000
  1.070000		1.322641e-001 	2.194235e-001 	-1.528790e-001 	-9.066433e-001 	-8.871263e-002 	4.774592e-002 	-1.172373e-001 	4.000000e+000
  1.089000		1.416092e-001 	1.968431e-001 	-1.932272e-001 	-1.038433e+000 	-1.433157e-001 	3.774432e-002 	-1.382596e-001 	2.400000e+001
