Local Traces SL in %
Number of Frames 85 
FR= 65 Left Marker Time=0.186000 Right Marker Time=1.116000 ES Time=0.573000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		-4.768378e+000 	-3.256211e+000 	-2.658561e+000 	-5.906771e+000 	-5.060999e+000 	-4.892793e+000 	-4.402523e+000 	7.400000e+001
  0.015000		-4.702349e+000 	-3.194657e+000 	-2.566759e+000 	-5.819619e+000 	-5.033906e+000 	-4.854973e+000 	-4.351115e+000 	7.800000e+001
  0.031000		-4.663425e+000 	-3.156088e+000 	-2.486231e+000 	-5.794206e+000 	-4.986123e+000 	-4.813707e+000 	-4.317582e+000 	8.300000e+001
  0.046000		-4.684624e+000 	-3.106042e+000 	-2.432868e+000 	-5.814517e+000 	-4.945518e+000 	-4.817522e+000 	-4.305238e+000 	8.600000e+001
  0.062000		-4.682034e+000 	-3.041869e+000 	-2.387911e+000 	-5.845197e+000 	-4.920959e+000 	-4.801214e+000 	-4.277017e+000 	8.500000e+001
  0.077000		-4.556738e+000 	-2.909192e+000 	-2.322390e+000 	-5.853916e+000 	-4.833056e+000 	-4.570491e+000 	-4.147060e+000 	7.800000e+001
  0.093000		-4.230371e+000 	-2.618712e+000 	-2.156587e+000 	-5.703357e+000 	-4.468884e+000 	-3.984852e+000 	-3.807995e+000 	6.900000e+001
  0.108000		-3.542439e+000 	-2.015992e+000 	-1.893555e+000 	-5.275375e+000 	-3.655048e+000 	-3.107026e+000 	-3.196846e+000 	6.300000e+001
  0.124000		-2.645776e+000 	-1.071138e+000 	-1.524716e+000 	-4.458419e+000 	-2.474556e+000 	-2.201973e+000 	-2.355180e+000 	5.900000e+001
  0.139000		-1.721647e+000 	1.453605e-003 	-1.078287e+000 	-3.343058e+000 	-1.254100e+000 	-1.336776e+000 	-1.425551e+000 	6.100000e+001
  0.155000		-9.161681e-001 	7.643536e-001 	-5.808925e-001 	-2.083648e+000 	-3.076862e-001 	-5.256320e-001 	-6.107617e-001 	1.010000e+002
  0.170000		-3.318257e-001 	8.066399e-001 	-1.857575e-001 	-8.991859e-001 	1.322017e-001 	-5.298511e-002 	-1.079298e-001 	1.980000e+002
  0.186000		0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	2.510000e+002
  0.201000		1.295013e-001 	-1.320368e+000 	-6.679402e-002 	4.422524e-001 	-4.668216e-001 	-1.751258e-001 	-1.966620e-001 	1.420000e+002
  0.217000		1.355724e-001 	-2.349593e+000 	-4.413655e-001 	2.664532e-001 	-8.669497e-001 	-2.930994e-001 	-4.886384e-001 	2.100000e+001
  0.232000		2.572885e-001 	-2.468628e+000 	-9.783904e-001 	-3.537924e-001 	-1.056209e+000 	-1.551324e-001 	-6.991050e-001 	3.000000e+000
  0.248000		4.137754e-001 	-2.028820e+000 	-1.598004e+000 	-1.096564e+000 	-1.050355e+000 	1.118109e-001 	-8.378971e-001 	2.600000e+001
  0.263000		3.339596e-001 	-1.775525e+000 	-2.298678e+000 	-1.789128e+000 	-1.121016e+000 	2.005999e-001 	-1.083528e+000 	4.100000e+001
  0.279000		-1.388193e-001 	-2.192865e+000 	-3.124692e+000 	-2.505455e+000 	-1.552287e+000 	-1.684676e-001 	-1.632694e+000 	5.100000e+001
  0.294000		-9.704092e-001 	-3.244071e+000 	-4.115596e+000 	-3.498353e+000 	-2.492551e+000 	-1.134924e+000 	-2.565739e+000 	5.900000e+001
  0.310000		-1.957221e+000 	-4.592000e+000 	-5.150737e+000 	-4.872780e+000 	-3.853934e+000 	-2.644465e+000 	-3.813870e+000 	6.600000e+001
  0.325000		-3.107552e+000 	-5.947886e+000 	-6.141882e+000 	-6.505002e+000 	-5.420317e+000 	-4.517706e+000 	-5.231717e+000 	7.100000e+001
  0.341000		-4.305967e+000 	-7.203718e+000 	-7.093270e+000 	-8.284029e+000 	-7.045731e+000 	-6.325519e+000 	-6.683650e+000 	7.800000e+001
  0.356000		-5.602349e+000 	-8.392213e+000 	-7.997206e+000 	-1.010368e+001 	-8.686768e+000 	-7.787096e+000 	-8.108053e+000 	8.400000e+001
  0.372000		-7.147881e+000 	-9.547765e+000 	-8.850797e+000 	-1.199535e+001 	-1.034317e+001 	-9.036206e+000 	-9.516187e+000 	9.200000e+001
  0.387000		-8.881758e+000 	-1.063221e+001 	-9.670237e+000 	-1.397386e+001 	-1.201252e+001 	-1.026180e+001 	-1.093090e+001 	1.010000e+002
  0.403000		-1.050312e+001 	-1.171734e+001 	-1.045668e+001 	-1.591087e+001 	-1.366658e+001 	-1.168601e+001 	-1.235899e+001 	1.130000e+002
  0.418000		-1.224023e+001 	-1.289381e+001 	-1.122653e+001 	-1.772409e+001 	-1.526836e+001 	-1.320422e+001 	-1.379768e+001 	1.250000e+002
  0.434000		-1.378637e+001 	-1.405141e+001 	-1.224409e+001 	-1.970735e+001 	-1.670291e+001 	-1.467673e+001 	-1.522465e+001 	1.340000e+002
  0.449000		-1.501190e+001 	-1.523680e+001 	-1.344528e+001 	-2.158733e+001 	-1.801679e+001 	-1.604775e+001 	-1.659825e+001 	1.350000e+002
  0.465000		-1.587947e+001 	-1.638823e+001 	-1.482933e+001 	-2.336358e+001 	-1.924244e+001 	-1.725858e+001 	-1.789081e+001 	1.240000e+002
