Local Traces SL in %
Number of Frames 82 
FR= 65 Left Marker Time=0.186000 Right Marker Time=1.116000 ES Time=0.573000
Time (s) 		   YELLOW    	     CYAN    	    GREEN    	  MAGENTA    	     BLUE    	      RED    	  GLOBAL     	ECG : 
  0.000000		-2.137146e+000 	-2.566737e+000 	-4.072920e+000 	-5.126439e+000 	-5.681037e+000 	-5.738091e+000 	-4.109412e+000 	7.100000e+001
  0.015000		-2.465967e+000 	-2.645835e+000 	-3.787204e+000 	-4.650567e+000 	-5.380195e+000 	-5.695055e+000 	-4.003321e+000 	7.300000e+001
  0.031000		-2.698597e+000 	-2.725161e+000 	-3.584731e+000 	-4.367384e+000 	-5.130831e+000 	-5.559878e+000 	-3.915354e+000 	7.700000e+001
  0.046000		-2.827812e+000 	-2.808768e+000 	-3.535893e+000 	-4.243457e+000 	-4.943417e+000 	-5.320991e+000 	-3.860697e+000 	8.200000e+001
  0.062000		-2.939551e+000 	-2.900540e+000 	-3.509232e+000 	-4.180944e+000 	-4.882613e+000 	-5.095220e+000 	-3.843676e+000 	8.300000e+001
  0.077000		-3.021948e+000 	-3.014431e+000 	-3.437052e+000 	-4.115466e+000 	-4.907319e+000 	-4.924616e+000 	-3.841908e+000 	8.000000e+001
  0.093000		-3.026430e+000 	-3.143129e+000 	-3.309453e+000 	-4.011445e+000 	-4.910498e+000 	-4.759552e+000 	-3.786767e+000 	7.600000e+001
  0.108000		-2.867602e+000 	-3.159082e+000 	-2.999094e+000 	-3.790951e+000 	-4.746678e+000 	-4.431634e+000 	-3.556268e+000 	6.900000e+001
  0.124000		-2.484491e+000 	-2.799179e+000 	-2.287170e+000 	-3.332339e+000 	-4.298872e+000 	-3.801442e+000 	-3.032197e+000 	6.400000e+001
  0.139000		-1.886925e+000 	-1.968599e+000 	-1.193701e+000 	-2.542591e+000 	-3.458019e+000 	-2.805563e+000 	-2.213482e+000 	5.900000e+001
  0.155000		-1.300721e+000 	-9.662576e-001 	-1.923502e-001 	-1.611299e+000 	-2.255390e+000 	-1.523665e+000 	-1.277346e+000 	6.500000e+001
  0.170000		-7.826190e-001 	-2.701079e-001 	2.167222e-001 	-7.065397e-001 	-1.004954e+000 	-5.278746e-001 	-4.786985e-001 	1.140000e+002
  0.186000		0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	2.180000e+002
  0.201000		5.808973e-001 	-1.940264e-001 	-6.940810e-001 	2.956699e-001 	5.922599e-001 	7.797239e-002 	7.652764e-002 	2.430000e+002
  0.217000		6.620585e-001 	-8.188908e-001 	-1.596537e+000 	-9.781080e-003 	5.981121e-001 	5.108535e-002 	-1.860017e-001 	1.160000e+002
  0.232000		2.517338e-001 	-1.566834e+000 	-2.242027e+000 	-7.133367e-001 	1.802501e-001 	1.475440e-001 	-5.579881e-001 	1.200000e+001
  0.248000		-1.305327e-001 	-1.900343e+000 	-2.278840e+000 	-1.397569e+000 	-2.714337e-001 	6.641124e-001 	-7.895345e-001 	5.000000e+000
  0.263000		-2.694295e-001 	-1.834349e+000 	-1.923973e+000 	-1.843471e+000 	-6.436198e-001 	1.219158e+000 	-8.578731e-001 	2.800000e+001
  0.279000		-2.418028e-001 	-1.737574e+000 	-1.766138e+000 	-2.222687e+000 	-1.088422e+000 	1.319476e+000 	-9.831053e-001 	4.200000e+001
  0.294000		-1.489204e-001 	-2.014807e+000 	-2.127765e+000 	-2.887158e+000 	-1.901373e+000 	8.213988e-001 	-1.442382e+000 	5.100000e+001
  0.310000		-5.171122e-001 	-2.982054e+000 	-3.068759e+000 	-4.080197e+000 	-3.260376e+000 	-2.752538e-001 	-2.387389e+000 	5.700000e+001
  0.325000		-1.682798e+000 	-4.442724e+000 	-4.360139e+000 	-5.673032e+000 	-4.910227e+000 	-1.680560e+000 	-3.743651e+000 	6.300000e+001
  0.341000		-3.378052e+000 	-6.070610e+000 	-5.750652e+000 	-7.366890e+000 	-6.546448e+000 	-3.119223e+000 	-5.306450e+000 	6.900000e+001
  0.356000		-5.369712e+000 	-7.792581e+000 	-7.044939e+000 	-8.894309e+000 	-8.090705e+000 	-4.605903e+000 	-6.909873e+000 	7.500000e+001
  0.372000		-7.448017e+000 	-9.568209e+000 	-8.220962e+000 	-1.023409e+001 	-9.578270e+000 	-6.143076e+000 	-8.488708e+000 	8.100000e+001
  0.387000		-9.381292e+000 	-1.125935e+001 	-9.381534e+000 	-1.157385e+001 	-1.111748e+001 	-7.744218e+000 	-1.006140e+001 	8.900000e+001
  0.403000		-1.124931e+001 	-1.289167e+001 	-1.065582e+001 	-1.311597e+001 	-1.282228e+001 	-9.449300e+000 	-1.168723e+001 	9.800000e+001
  0.418000		-1.310267e+001 	-1.447909e+001 	-1.214784e+001 	-1.502401e+001 	-1.461133e+001 	-1.108155e+001 	-1.339777e+001 	1.080000e+002
  0.434000		-1.493616e+001 	-1.598275e+001 	-1.412531e+001 	-1.756759e+001 	-1.638370e+001 	-1.238609e+001 	-1.515961e+001 	1.190000e+002
  0.449000		-1.654593e+001 	-1.736582e+001 	-1.614665e+001 	-2.026446e+001 	-1.809628e+001 	-1.335518e+001 	-1.686943e+001 	1.270000e+002
  0.465000		-1.796212e+001 	-1.860378e+001 	-1.801939e+001 	-2.276475e+001 	-1.969339e+001 	-1.416620e+001 	-1.845811e+001 	1.280000e+002
  0.480000		-1.945353e+001 	-1.974142e+001 	-1.963880e+001 	-2.492657e+001 	-2.119901e+001 	-1.504417e+001 	-1.992158e+001 	1.170000e+002
  0.496000		-2.117792e+001 	-2.079044e+001 	-2.089901e+001 	-2.678576e+001 	-2.262126e+001 	-1.595337e+001 	-2.126564e+001 	9.100000e+001
  0.511000		-2.281118e+001 	-2.177355e+001 	-2.190875e+001 	-2.843674e+001 	-2.387649e+001 	-1.670588e+001 	-2.247761e+001 	5.500000e+001
  0.527000		-2.407629e+001 	-2.271139e+001 	-2.284174e+001 	-2.987543e+001 	-2.499039e+001 	-1.736948e+001 	-2.354216e+001 	2.900000e+001
  0.542000		-2.491017e+001 	-2.360779e+001 	-2.373371e+001 	-3.104374e+001 	-2.593764e+001 	-1.799825e+001 	-2.442651e+001 	1.700000e+001
  0.558000		-2.541162e+001 	-2.438733e+001 	-2.448159e+001 	-3.184756e+001 	-2.658939e+001 	-1.848764e+001 	-2.506054e+001 	1.800000e+001
  0.573000		-2.566973e+001 	-2.491215e+001 	-2.484372e+001 	-3.213501e+001 	-2.680693e+001 	-1.860071e+001 	-2.536972e+001 	2.400000e+001
  0.589000		-2.583550e+001 	-2.510099e+001 	-2.474440e+001 	-3.203362e+001 	-2.667705e+001 	-1.820540e+001 	-2.534626e+001 	3.200000e+001
  0.604000		-2.609277e+001 	-2.499717e+001 	-2.409680e+001 	-3.154984e+001 	-2.636839e+001 	-1.758961e+001 	-2.503542e+001 	4.000000e+001
  0.620000		-2.633406e+001 	-2.469487e+001 	-2.284592e+001 	-3.045338e+001 	-2.582278e+001 	-1.701557e+001 	-2.447180e+001 	4.700000e+001
  0.635000		-2.636367e+001 	-2.424607e+001 	-2.105649e+001 	-2.865349e+001 	-2.510742e+001 	-1.671993e+001 	-2.365664e+001 	5.300000e+001
  0.651000		-2.616878e+001 	-2.360708e+001 	-1.872074e+001 	-2.597829e+001 	-2.407249e+001 	-1.677298e+001 	-2.251264e+001 	5.800000e+001
  0.666000		-2.525735e+001 	-2.236187e+001 	-1.611709e+001 	-2.259396e+001 	-2.250681e+001 	-1.695179e+001 	-2.085821e+001 	6.200000e+001
  0.682000		-2.275734e+001 	-1.984500e+001 	-1.342166e+001 	-1.898303e+001 	-2.040414e+001 	-1.665605e+001 	-1.847408e+001 	6.500000e+001
  0.697000		-1.853681e+001 	-1.575107e+001 	-1.024805e+001 	-1.524644e+001 	-1.783778e+001 	-1.550596e+001 	-1.530372e+001 	6.600000e+001
  0.713000		-1.384742e+001 	-1.074644e+001 	-6.137701e+000 	-1.108499e+001 	-1.503933e+001 	-1.392983e+001 	-1.166007e+001 	6.700000e+001
  0.728000		-1.023854e+001 	-6.347902e+000 	-1.636763e+000 	-6.517299e+000 	-1.213344e+001 	-1.251043e+001 	-8.169899e+000 	6.700000e+001
  0.744000		-8.573885e+000 	-3.700161e+000 	1.963392e+000 	-2.374562e+000 	-9.305111e+000 	-1.113509e+001 	-5.452174e+000 	6.700000e+001
  0.759000		-7.982638e+000 	-2.606990e+000 	3.695377e+000 	2.010880e-001 	-7.056754e+000 	-9.649307e+000 	-3.825029e+000 	6.600000e+001
  0.775000		-7.504500e+000 	-2.490010e+000 	3.328682e+000 	6.977034e-001 	-5.856195e+000 	-8.303349e+000 	-3.271120e+000 	6.600000e+001
  0.790000		-6.905210e+000 	-3.011400e+000 	1.569973e+000 	-2.104503e-001 	-5.644892e+000 	-7.725984e+000 	-3.500060e+000 	6.700000e+001
  0.806000		-6.264330e+000 	-3.670302e+000 	-5.148116e-001 	-1.547822e+000 	-5.881062e+000 	-7.649800e+000 	-4.066087e+000 	6.700000e+001
  0.821000		-5.767978e+000 	-4.157674e+000 	-2.227351e+000 	-2.692456e+000 	-6.135061e+000 	-7.581321e+000 	-4.587498e+000 	6.800000e+001
  0.837000		-5.437787e+000 	-4.363002e+000 	-3.376538e+000 	-3.355268e+000 	-6.159384e+000 	-7.334492e+000 	-4.881407e+000 	6.800000e+001
  0.852000		-5.228881e+000 	-4.351091e+000 	-3.928154e+000 	-3.593667e+000 	-6.032177e+000 	-7.087649e+000 	-4.952346e+000 	7.000000e+001
  0.868000		-5.106924e+000 	-4.162952e+000 	-3.987276e+000 	-3.573225e+000 	-5.935353e+000 	-7.023554e+000 	-4.882232e+000 	7.100000e+001
  0.883000		-4.981256e+000 	-3.848387e+000 	-3.731261e+000 	-3.485987e+000 	-5.972304e+000 	-7.063857e+000 	-4.734322e+000 	7.100000e+001
  0.899000		-4.736850e+000 	-3.517294e+000 	-3.279556e+000 	-3.336046e+000 	-6.018901e+000 	-7.030445e+000 	-4.536119e+000 	7.100000e+001
  0.914000		-4.567788e+000 	-3.269261e+000 	-2.792867e+000 	-3.136358e+000 	-5.952840e+000 	-6.878398e+000 	-4.323665e+000 	7.100000e+001
  0.930000		-4.598412e+000 	-3.162077e+000 	-2.432051e+000 	-2.931512e+000 	-5.742972e+000 	-6.632885e+000 	-4.142362e+000 	7.200000e+001
  0.945000		-4.651786e+000 	-3.229338e+000 	-2.250311e+000 	-2.774439e+000 	-5.470651e+000 	-6.405938e+000 	-4.019017e+000 	7.200000e+001
  0.961000		-4.662211e+000 	-3.340206e+000 	-2.229925e+000 	-2.691027e+000 	-5.192198e+000 	-6.233194e+000 	-3.953778e+000 	7.400000e+001
  0.976000		-4.688080e+000 	-3.416112e+000 	-2.287634e+000 	-2.672857e+000 	-5.007209e+000 	-6.073525e+000 	-3.936693e+000 	7.700000e+001
  0.992000		-4.686936e+000 	-3.493073e+000 	-2.315501e+000 	-2.676901e+000 	-4.992951e+000 	-5.987576e+000 	-3.947145e+000 	8.200000e+001
  1.007000		-4.663748e+000 	-3.572178e+000 	-2.271587e+000 	-2.659787e+000 	-5.023166e+000 	-5.885622e+000 	-3.928244e+000 	8.200000e+001
  1.023000		-4.583650e+000 	-3.545218e+000 	-2.098661e+000 	-2.561882e+000 	-4.916430e+000 	-5.598390e+000 	-3.774738e+000 	7.800000e+001
  1.038000		-4.371195e+000 	-3.234525e+000 	-1.658829e+000 	-2.296535e+000 	-4.531303e+000 	-4.968869e+000 	-3.363469e+000 	7.300000e+001
  1.054000		-3.798768e+000 	-2.581572e+000 	-8.459355e-001 	-1.805328e+000 	-3.799700e+000 	-3.899253e+000 	-2.633443e+000 	6.500000e+001
  1.069000		-2.615079e+000 	-1.653742e+000 	1.433065e-001 	-1.096399e+000 	-2.784175e+000 	-2.583861e+000 	-1.680421e+000 	6.000000e+001
  1.085000		-1.452831e+000 	-7.531890e-001 	8.121142e-001 	-3.863855e-001 	-1.652701e+000 	-1.334264e+000 	-7.627327e-001 	5.800000e+001
  1.100000		-5.578506e-001 	-1.290000e-001 	7.267545e-001 	1.642118e-002 	-6.424286e-001 	-4.492174e-001 	-1.513822e-001 	7.000000e+001
  1.116000		8.867573e-010 	-9.089973e-009 	-9.850964e-009 	-7.448762e-008 	-1.330704e-008 	2.592060e-009 	4.365575e-009 	1.330000e+002
  1.131000		5.611341e-002 	-4.197162e-001 	-1.049620e+000 	-3.613717e-001 	9.845631e-002 	-2.153171e-001 	-3.048570e-001 	2.360000e+002
  1.147000		-3.366912e-001 	-1.192966e+000 	-1.956145e+000 	-8.957536e-001 	-4.111384e-001 	-1.052910e+000 	-8.843842e-001 	2.150000e+002
  1.162000		-9.219875e-001 	-1.914369e+000 	-2.349995e+000 	-1.394336e+000 	-1.165774e+000 	-1.857768e+000 	-1.451123e+000 	7.200000e+001
  1.178000		-1.564134e+000 	-2.352592e+000 	-2.218252e+000 	-1.751563e+000 	-1.748079e+000 	-2.030773e+000 	-1.824583e+000 	2.000000e+000
  1.193000		-1.899289e+000 	-2.630154e+000 	-1.975914e+000 	-2.097640e+000 	-2.233592e+000 	-1.871433e+000 	-2.082335e+000 	1.000000e+001
