Local Traces SL in %
Number of Frames 81 
FR= 66 Left Marker Time=0.168000 Right Marker Time=1.052000 ES Time=0.564000
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
  0.000000		-5.485051e+000 	-4.540727e+000 	-5.548712e+000 	-7.510255e+000 	-4.491915e+000 	-2.141779e+000 	-4.999696e+000 	1.170000e+002
  0.015000		-5.164529e+000 	-4.715312e+000 	-5.819355e+000 	-7.488963e+000 	-4.289918e+000 	-1.789639e+000 	-4.896302e+000 	1.080000e+002
  0.031000		-4.883403e+000 	-4.754166e+000 	-5.960147e+000 	-7.372698e+000 	-3.867227e+000 	-1.246149e+000 	-4.677993e+000 	1.020000e+002
  0.046000		-4.381961e+000 	-4.554110e+000 	-5.984369e+000 	-7.088979e+000 	-3.158488e+000 	-2.875608e-001 	-4.249947e+000 	1.010000e+002
  0.061000		-3.456756e+000 	-4.001504e+000 	-5.776382e+000 	-6.488381e+000 	-2.224925e+000 	6.026990e-001 	-3.603499e+000 	1.020000e+002
  0.076000		-2.212569e+000 	-3.130689e+000 	-5.210190e+000 	-5.450508e+000 	-1.296256e+000 	8.581214e-001 	-2.817231e+000 	1.020000e+002
  0.092000		-1.069294e+000 	-2.163577e+000 	-4.247675e+000 	-4.042826e+000 	-5.499131e-001 	5.962600e-001 	-1.993604e+000 	1.020000e+002
  0.107000		-4.985292e-001 	-1.384881e+000 	-2.966705e+000 	-2.511966e+000 	-3.558234e-003 	3.182844e-001 	-1.212718e+000 	1.040000e+002
  0.122000		-2.941164e-001 	-7.570009e-001 	-1.592707e+000 	-1.114135e+000 	3.619967e-001 	3.171938e-001 	-5.367360e-001 	1.210000e+002
  0.137000		-1.236067e-001 	-3.134195e-001 	-5.593567e-001 	-4.932861e-002 	5.816008e-001 	3.310309e-001 	-5.979859e-002 	1.660000e+002
  0.153000		-7.549177e-002 	-1.090348e-001 	-3.355104e-002 	3.875638e-001 	5.234555e-001 	2.091304e-001 	1.244922e-001 	2.250000e+002
  0.168000		0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	2.530000e+002
  0.183000		2.106463e-001 	1.541081e-001 	-2.539855e-001 	-1.148742e+000 	-1.027673e+000 	-1.983636e-001 	-3.647336e-001 	2.390000e+002
  0.198000		6.113299e-001 	4.332472e-001 	-6.872686e-001 	-2.832902e+000 	-2.383928e+000 	-4.386886e-001 	-8.697769e-001 	2.080000e+002
  0.214000		1.132944e+000 	7.836351e-001 	-1.257182e+000 	-4.694480e+000 	-3.762417e+000 	-8.036776e-001 	-1.423770e+000 	1.630000e+002
  0.229000		1.627217e+000 	1.087872e+000 	-1.839158e+000 	-6.306936e+000 	-4.917984e+000 	-1.402783e+000 	-1.968011e+000 	9.600000e+001
  0.244000		2.010332e+000 	1.274303e+000 	-2.409826e+000 	-7.573156e+000 	-5.817220e+000 	-2.170860e+000 	-2.492820e+000 	3.100000e+001
  0.259000		2.058784e+000 	1.167807e+000 	-3.023032e+000 	-8.518831e+000 	-6.484174e+000 	-2.922806e+000 	-3.013596e+000 	2.000000e+000
  0.275000		1.531433e+000 	6.810604e-001 	-3.662014e+000 	-9.024578e+000 	-6.850497e+000 	-3.497841e+000 	-3.517320e+000 	2.000000e+000
  0.290000		5.154402e-001 	-1.595743e-001 	-4.286370e+000 	-8.931754e+000 	-6.866063e+000 	-3.854994e+000 	-3.954813e+000 	1.500000e+001
  0.305000		-5.545734e-001 	-1.195499e+000 	-4.884218e+000 	-8.297998e+000 	-6.602693e+000 	-4.068949e+000 	-4.287384e+000 	3.000000e+001
  0.320000		-1.329932e+000 	-2.233366e+000 	-5.507171e+000 	-7.433796e+000 	-6.196539e+000 	-4.211227e+000 	-4.537240e+000 	4.500000e+001
  0.336000		-2.000637e+000 	-3.225403e+000 	-6.100158e+000 	-6.687373e+000 	-5.861560e+000 	-4.346399e+000 	-4.787612e+000 	5.500000e+001
  0.351000		-2.950653e+000 	-4.266627e+000 	-6.602200e+000 	-6.234270e+000 	-5.754683e+000 	-4.508272e+000 	-5.110867e+000 	6.100000e+001
  0.366000		-3.870527e+000 	-5.204772e+000 	-6.975105e+000 	-6.125754e+000 	-5.895219e+000 	-4.697340e+000 	-5.508957e+000 	6.600000e+001
  0.381000		-4.802878e+000 	-6.023724e+000 	-7.346005e+000 	-6.315803e+000 	-6.191066e+000 	-4.921410e+000 	-5.945293e+000 	6.800000e+001
  0.397000		-5.403497e+000 	-6.664395e+000 	-7.758278e+000 	-6.649230e+000 	-6.552767e+000 	-5.209170e+000 	-6.375336e+000 	6.900000e+001
  0.412000		-5.519148e+000 	-7.170834e+000 	-8.189324e+000 	-7.081244e+000 	-6.957524e+000 	-5.543162e+000 	-6.803129e+000 	6.700000e+001
  0.427000		-5.993826e+000 	-7.773798e+000 	-8.678248e+000 	-7.619526e+000 	-7.390407e+000 	-5.876081e+000 	-7.280020e+000 	6.400000e+001
  0.442000		-6.700368e+000 	-8.414876e+000 	-9.233054e+000 	-8.246366e+000 	-7.854613e+000 	-6.182451e+000 	-7.806486e+000 	6.200000e+001
  0.458000		-7.474472e+000 	-8.967675e+000 	-9.717595e+000 	-8.891959e+000 	-8.300951e+000 	-6.451546e+000 	-8.321302e+000 	6.900000e+001
  0.473000		-8.402316e+000 	-9.259664e+000 	-1.001356e+001 	-9.487891e+000 	-8.679264e+000 	-6.667151e+000 	-8.750324e+000 	8.800000e+001
  0.488000		-8.960742e+000 	-9.347657e+000 	-1.019662e+001 	-9.968176e+000 	-9.003868e+000 	-6.813108e+000 	-9.042232e+000 	1.200000e+002
  0.503000		-9.106570e+000 	-9.323591e+000 	-1.027516e+001 	-1.034185e+001 	-9.260305e+000 	-6.864366e+000 	-9.193001e+000 	1.530000e+002
  0.519000		-9.265547e+000 	-9.212693e+000 	-1.016545e+001 	-1.057174e+001 	-9.385286e+000 	-6.808177e+000 	-9.242159e+000 	1.730000e+002
  0.534000		-9.671719e+000 	-9.239572e+000 	-9.952600e+000 	-1.058210e+001 	-9.373240e+000 	-6.705566e+000 	-9.252421e+000 	1.740000e+002
  0.549000		-1.007830e+001 	-9.474138e+000 	-9.818610e+000 	-1.039184e+001 	-9.248938e+000 	-6.659602e+000 	-9.275863e+000 	1.610000e+002
  0.564000		-1.051806e+001 	-9.776765e+000 	-9.793486e+000 	-1.021345e+001 	-9.102822e+000 	-6.690321e+000 	-9.339686e+000 	1.460000e+002
  0.580000		-1.109704e+001 	-1.018360e+001 	-9.808456e+000 	-9.974592e+000 	-8.950810e+000 	-6.785761e+000 	-9.433857e+000 	1.360000e+002
  0.595000		-1.161679e+001 	-1.060222e+001 	-9.804448e+000 	-9.639031e+000 	-8.798372e+000 	-6.934842e+000 	-9.520222e+000 	1.290000e+002
