Local Traces SL in %
Number of Frames 79 
FR= 66 Left Marker Time=0.168000 Right Marker Time=1.022000 ES Time=0.549000
Time (s) 		   YELLOW    	     CYAN    	    GREEN    	  MAGENTA    	     BLUE    	      RED    	  GLOBAL     	ECG : 
  0.000000		-2.845322e-001 	-3.519155e+000 	-8.606549e+000 	-1.021232e+001 	-6.460308e+000 	-4.180925e+000 	-5.439607e+000 	1.210000e+002
  0.015000		-4.198495e-001 	-3.465433e+000 	-8.401990e+000 	-1.013824e+001 	-6.456083e+000 	-4.141069e+000 	-5.409064e+000 	1.150000e+002
  0.031000		-3.765384e-001 	-3.506113e+000 	-8.317754e+000 	-1.005330e+001 	-6.429984e+000 	-4.015892e+000 	-5.354788e+000 	1.070000e+002
  0.046000		2.668948e-002 	-3.647021e+000 	-8.307020e+000 	-9.932560e+000 	-6.330437e+000 	-3.749404e+000 	-5.208223e+000 	1.010000e+002
  0.061000		1.251335e+000 	-3.761292e+000 	-8.337234e+000 	-9.658857e+000 	-6.058935e+000 	-3.310421e+000 	-4.866264e+000 	1.020000e+002
  0.076000		3.138568e+000 	-3.506198e+000 	-8.375312e+000 	-9.252830e+000 	-5.490360e+000 	-2.645965e+000 	-4.260111e+000 	1.030000e+002
  0.092000		5.122904e+000 	-2.732003e+000 	-7.891752e+000 	-8.535810e+000 	-4.749336e+000 	-2.091955e+000 	-3.403722e+000 	1.010000e+002
  0.107000		5.831822e+000 	-1.384081e+000 	-6.527544e+000 	-7.295973e+000 	-3.812588e+000 	-1.596878e+000 	-2.406656e+000 	1.000000e+002
  0.122000		4.582558e+000 	-1.261407e-001 	-4.418273e+000 	-5.392241e+000 	-2.617186e+000 	-9.745729e-001 	-1.443573e+000 	1.010000e+002
  0.137000		2.455262e+000 	4.382257e-001 	-2.234692e+000 	-3.159012e+000 	-1.416817e+000 	-4.226161e-001 	-6.783294e-001 	1.200000e+002
  0.153000		8.229109e-001 	3.499252e-001 	-7.139887e-001 	-1.199088e+000 	-5.015182e-001 	-1.604955e-001 	-1.963886e-001 	1.690000e+002
  0.168000		0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	0.000000e+000 	2.300000e+002
  0.183000		-3.884763e-001 	-4.190938e-001 	2.619968e-001 	2.252297e-001 	-1.427639e-001 	8.624520e-002 	-3.996452e-002 	2.540000e+002
  0.198000		-2.165169e-002 	-3.385397e-001 	9.744467e-002 	-3.742196e-001 	-8.854801e-001 	-1.066741e-001 	-2.264485e-001 	2.360000e+002
  0.214000		1.356576e+000 	3.391648e-001 	-2.532232e-001 	-1.725445e+000 	-2.313216e+000 	-7.415703e-001 	-4.845883e-001 	2.020000e+002
