Local Traces SrL in 1/s
Number of Frames 58 
FR= 48 Left Marker Time=0.168000 Right Marker Time=1.029000 ES Time=0.504000
Time (s) 		   YELLOW    	     CYAN    	    GREEN    	  MAGENTA    	     BLUE    	      RED    	  GLOBAL     	ECG : 
  0.000000		5.578064e-001 	1.205281e-001 	-2.832054e-001 	-1.395174e-001 	1.142850e-001 	7.581342e-002 	4.296505e-002 	8.900000e+001
  0.021000		4.055872e-001 	7.780454e-002 	-2.148938e-001 	-6.821149e-002 	9.182037e-002 	2.742976e-002 	3.739730e-002 	9.000000e+001
  0.042000		1.015516e-001 	5.778772e-003 	-4.435027e-002 	5.764127e-002 	5.493565e-002 	-1.022285e-002 	3.500002e-002 	8.800000e+001
  0.063000		-4.558675e-002 	-2.955429e-002 	1.010460e-001 	1.382141e-001 	5.720090e-002 	5.472779e-002 	5.961448e-002 	8.200000e+001
  0.084000		1.757556e-003 	-3.371858e-003 	1.851103e-001 	1.922913e-001 	1.104355e-001 	1.516239e-001 	1.116756e-001 	7.500000e+001
  0.105000		-4.046186e-002 	1.377695e-001 	2.840361e-001 	2.187629e-001 	1.731213e-001 	1.987499e-001 	1.608944e-001 	7.100000e+001
  0.126000		-1.548726e-001 	2.770732e-001 	3.272384e-001 	2.036641e-001 	2.148683e-001 	1.966257e-001 	1.685452e-001 	8.200000e+001
  0.147000		-9.008331e-002 	2.770283e-001 	1.942439e-001 	7.572427e-002 	1.796834e-001 	1.238781e-001 	1.181528e-001 	1.650000e+002
  0.168000		1.389486e-001 	2.625203e-001 	-5.060036e-002 	-1.776373e-001 	2.192511e-002 	-2.682279e-002 	4.327127e-002 	2.530000e+002
  0.189000		5.359553e-001 	3.466567e-001 	-2.505751e-001 	-3.850774e-001 	-1.785163e-001 	-1.165143e-001 	9.983665e-003 	1.350000e+002
  0.210000		9.293357e-001 	4.966808e-001 	-2.647661e-001 	-4.470125e-001 	-2.697057e-001 	-7.984946e-002 	4.161120e-002 	1.300000e+001
  0.231000		8.671927e-001 	4.868958e-001 	-5.764685e-002 	-2.954390e-001 	-2.257839e-001 	-4.401859e-003 	9.078668e-002 	5.000000e+000
  0.252000		5.483333e-001 	3.099957e-001 	2.701248e-002 	-1.305148e-001 	-1.148246e-001 	5.157989e-002 	1.113273e-001 	2.600000e+001
  0.273000		5.235470e-001 	1.966897e-001 	-5.239545e-002 	-6.487657e-002 	-2.116317e-002 	4.520394e-002 	1.132391e-001 	4.100000e+001
  0.294000		5.825141e-001 	1.334404e-001 	7.204482e-003 	1.975253e-003 	-1.609903e-002 	2.926495e-003 	1.137711e-001 	5.000000e+001
  0.315000		4.664178e-001 	6.350172e-002 	1.025645e-001 	3.655521e-002 	-1.781180e-002 	2.077265e-002 	1.013303e-001 	5.700000e+001
